Owner Code,Serial Number,Check Digit,ISO Size Code,ISO Type Code
HLXU,374419,5,22,R9
HLXU,564772,5,42,U1
CPSU,174498,4,22,G1
HLBU,801486,4,22,U1
HLXU,362654,6,22,U1
HLXU,371488,3,22,R1
HLXU,564413,2,42,U1
HLXU,368954,3,22,P3
HLXU,565103,0,42,U1
HLBU,106896,0,45,G0
HLXU,505786,3,42,G1
HLXU,503705,6,42,G1
HLXU,132973,3,22,G0
HLXU,449051,4,42,G1
HLXU,445648,9,42,G1
HLXU,122318,0,22,G0
HLXU,561489,9,42,U1
HLBU,141640,1,45,G0
HLXU,122573,7,22,G1
HLXU,565255,7,42,U1
CPSU,170335,6,22,G0
HLBU,106860,4,45,G0
HLXU,676506,6,45,R1
HLXU,540265,4,42,G0
HLXU,536941,3,42,G1
HLXU,870972,6,45,R9
HLBU,142051,2,45,G0
LNXU,965281,2,45,R1
HLXU,870055,0,45,R9
HLXU,444519,4,42,G1
HLBU,138888,8,22,G0
HLXU,345207,0,22,G1
HLXU,446633,0,42,G0
HLXU,566048,4,42,U1
HLXU,565010,4,42,U1
HLXU,870033,0,45,R1
HLXU,119439,5,22,G0
HLXU,561041,2,42,U1
HLXU,777545,2,45,R9
HLBU,137596,8,22,G0
HLBU,141993,1,45,G0
HLXU,342774,5,22,G1
HLXU,123239,3,22,G1
HLBU,148578,4,45,G0
CPSU,177237,2,22,G0
HLXU,124118,8,22,G0
HLXU,441206,4,42,G1
CPSU,179913,2,22,G0
HLXU,536578,0,42,G0
HLBU,151903,2,42,G1
HLXU,119625,6,22,G1
HLXU,444431,6,42,G0
HLXU,448333,4,42,G0
HLBU,800338,6,42,U1
LNXU,965710,3,45,R9
HLXU,566597,0,42,U1
HLXU,824292,1,45,G0
HLXU,346758,9,22,G0
HLBU,153518,5,42,G0
HLXU,441789,5,42,G0
HLXU,666041,7,45,U6
HLXU,505985,5,42,G0
HLBU,152641,1,42,G1
HLBU,136882,0,22,G1
HLXU,540270,1,42,G0
HLBU,142003,0,45,G0
HLXU,868490,6,45,P3
HLXU,128900,0,22,G1
HLBU,800876,1,42,U1
HLXU,539479,0,42,G0
HLXU,443723,0,42,G1
HLXU,443798,0,42,G1
CPSU,182755,7,22,G1
HLXU,465291,2,42,U6
HLXU,368782,9,22,P3
HLXU,824744,8,45,G0
HLXU,129471,1,22,G1
HLXU,869571,9,45,P3
HLXU,465613,1,42,U6
CPSU,171417,4,22,G0
HLXU,442304,0,42,G0
HLBU,106495,0,45,G0
CPSU,176704,8,22,G0
HLXU,373637,8,22,R9
HLBU,113206,1,42,G0
HLBU,152082,3,42,G0
HLBU,130550,8,45,G0
HLXU,345823,9,22,G1
HLXU,375407,2,22,R9
HLXU,540242,9,42,G1
HLBU,148114,0,45,G0
HLXU,449787,6,42,G1
HLXU,360102,9,22,U1
HLXU,449119,3,42,G1
HLXU,443057,0,42,G1
HLBU,141660,0,45,G0
HLXU,345029,2,22,G1
HLBU,800957,1,42,U1
HLBU,141551,8,45,G0
HLBU,113227,6,42,G0
HLXU,562317,5,42,U1
HLBU,113018,0,42,G0
HLXU,560323,2,42,U1
HLXU,122550,1,22,G1
HLXU,128635,0,22,G1
HLXU,562178,0,42,U1
HLXU,870965,8,45,R1
HLXU,870891,6,45,R1
HLXU,870383,4,45,R1
HLXU,504111,0,42,G1
HLBU,803521,9,22,U1
HLXU,120447,6,22,G1
HLXU,538263,3,42,G0
HLXU,560728,4,42,U1
HLXU,342256,9,22,G1
HLXU,115605,6,22,G0
HLXU,171271,1,22,R9
HLXU,127776,4,22,G0
HLXU,502788,6,42,G0
HLBU,141615,5,45,G0
HLBU,113809,0,42,G1
HLXU,125183,5,22,G1
HLBU,800766,3,42,U1
HLXU,121567,1,22,G1
CPSU,171288,4,22,G1
CPSU,180990,0,22,G0
HLXU,539969,4,42,G0
HLXU,540525,7,42,G1
HLXU,360564,1,22,U1
HLXU,449528,7,42,G1
HLXU,128076,1,22,G0
HLXU,655988,1,45,G0
HLXU,445529,1,42,G0
HLXU,125659,2,22,G1
CPSU,177662,3,22,G0
HLBU,172566,8,22,G0
HLBU,113953,3,42,G1
HLXU,118390,7,22,G0
HLBU,153419,7,42,G0
HLXU,448503,8,42,G1
HLXU,539327,3,42,G1
HLXU,441767,5,42,G1
HLXU,340608,6,22,G0
HLXU,123489,3,22,G0
HLBU,172932,7,22,G0
HLBU,152688,8,42,G0
HLBU,148135,5,45,G0
HLXU,449042,5,42,G1
HLXU,128708,6,22,G1
CPSU,170899,3,22,G0
HLBU,803208,7,45,U6
CPSU,177796,2,22,G0
HLBU,904022,0,45,R9
HLBU,107927,0,45,G0
HLXU,666066,3,45,U6
HLXU,346755,2,22,G1
HLBU,803384,5,22,U1
HLBU,124915,0,42,G1
HLBU,904043,4,45,R9
HLBU,800434,8,42,U1
HLXU,540629,2,42,G0
CPSU,183157,9,22,G1
HLXU,868479,6,45,P3
HLXU,506523,5,42,G0
HLXU,119536,2,22,G0
HLXU,122976,8,22,G1
HLBU,142242,0,45,G0
HLXU,537634,7,42,G1
HLXU,880236,6,45,R1
HLBU,113050,4,42,G0
HLXU,564005,4,42,U1
HLBU,129959,4,45,G0
HLXU,115171,8,22,G0
HLXU,507708,3,42,G0
HLXU,563331,4,42,U1
CPSU,179408,7,22,G0
HLXU,340840,8,22,G0
HLBU,153690,1,42,G1
HLBU,173700,8,22,G1
HLXU,374653,8,22,R9
HLXU,362860,6,22,U1
HLXU,128716,0,22,G1
HLXU,345220,0,22,G0
HLXU,341388,4,22,G0
HLBU,126351,0,42,G0
HLXU,115307,6,22,G0
HLXU,440054,6,42,G0
HLXU,362539,0,22,U1
HLXU,868082,8,45,P3
CPSU,175008,1,22,G1
HLXU,360780,6,22,U1
HLXU,121550,9,22,G1
HLXU,119332,3,22,G0
HLXU,560374,0,42,U1
HLXU,539357,7,42,G0
HLXU,374734,8,22,R9
CPSU,176606,5,22,G0
HLXU,538626,6,42,G1
HLXU,879687,1,45,R1
HLBU,113561,2,42,G1
HLBU,139005,9,22,G1
