Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2020)","CIF (BAHT)(Mar 2020)","Quantity (Jan - Mar 2020)","CIF (BAHT)(Jan - Mar 2020)"
2563,3,1,AR,01012100,000,C62,"Horses, pure-bred breeding animals (C62)",3,604799,39,8796878
2563,3,1,AU,01012900,000,C62,"Other (C62)",14,1345784,88,30507107
2563,3,1,US,01022100,001,C62,"Bullocks    (C62)",31,13044022,214,37224381
2563,3,1,MM,01022990,000,C62,"Other (C62)",4064,56454500,16516,236660000
2563,3,1,MM,01023900,000,C62,"Other (C62)",590,8296000,3042,43730500
2563,3,1,DK,01031000,000,C62,"Live swine, pure-bred breeding animals (C62)",107,8366276,207,17191970
2563,3,1,US,01041010,000,C62,"Sheep, pure-bred breeding animals (C62)",12,781445,31,1540405
2563,3,1,MM,01041090,000,C62,"Other (C62)",130,52000,1090,436000
2563,3,1,ES,01042010,000,C62,"Goats, pure-bred breeding animals (C62)",37,1924115,311,16280529
2563,3,1,MM,01042090,000,C62,"Other (C62)",1421,933820,5061,2389820
2563,3,1,AU,01051110,001,C62,"Layer (C62)",20693,4320277,77041,17418817
2563,3,1,FR,01051110,002,C62,"Broiler (C62)",29406,21582846,221227,180485205
2563,3,1,KW,01051190,000,C62,"Other (C62)",0,0,1012,76222
2563,3,1,DE,01051310,000,C62,"Breeding ducklings (C62)",4253,1440265,12812,5434072
2563,3,1,BE,01051490,000,C62,"Other (C62)",62,141568,62,141568
2563,3,1,DE,01059910,000,C62,"Breeding ducks (C62)",3261,970139,3261,970139
2563,3,1,BE,01059920,000,C62,"Other ducks (C62)",267,290640,2567,571025
2563,3,1,BE,01059940,000,C62,"Other geese, turkeys and guinea fowls (C62)",90,191032,90,191032
2563,3,1,CN,01061100,000,C62,"Primates (C62)",112,74692,162,163333
2563,3,1,UY,01061200,000,C62,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia) (C62)",0,0,9,1941817
2563,3,1,NL,01061300,000,C62,"Camels and other camelids (Camelidae) (C62)",18,307014,18,307014
2563,3,1,PH,01061400,000,C62,"Rabbits and hares (C62)",9,4500,13,7500
2563,3,1,AU,01061900,001,C62,"Dogs (C62)",26,140045,213,1138394
2563,3,1,AE,01061900,002,C62,"Cats (C62)",15,69740,72,292321
2563,3,1,DE,01061900,090,C62,"Other (C62)",425,1615363,1361,17334375
2563,3,1,TG,01062000,001,C62,"Snakes (C62)",115,18044,369,85612
2563,3,1,BR,01062000,002,C62,"Turtles (C62)",1152,345338,2283,1049556
2563,3,1,AR,01062000,090,C62,"Other (C62)",411,86156,1380,420153
2563,3,1,NL,01063200,000,C62,"Psittaciformes (including parrots, parakeets, macaws and cockatoos) (C62)",24,170224,26,194052
2563,3,1,BE,01063900,090,C62,"Other (C62)",2278,4803155,3469,5403905
2563,3,1,TW,01064900,000,C62,"Other (C62)",0,0,1,4880
2563,3,1,AU,02012000,001,KGM,"Other cuts with bone in of bullocks and cows , fresh or chilled (KGM)",18369,6488690,65590,26805631
2563,3,1,AR,02013000,001,KGM,"Boneless of bullocks and cows, fresh or chilled (KGM)",216488,73941963,733458,261624520
2563,3,1,AU,02021000,001,KGM,"Crcasses and half-carcasses of bullocks and cows, frozen (KGM)",0,0,5736,1268650
2563,3,1,AU,02022000,001,KGM,"Bullocks and cows, other cuts with bone in, frozen (KGM)",2762,1063455,45181,13581364
2563,3,1,AR,02023000,001,KGM,"Boneless of bullocks and cows, frozen (KGM)",1205350,178593743,5058393,876205887
2563,3,1,JP,02032900,000,KGM,"Other (KGM)",111,96324,111,96324
2563,3,1,AU,02041000,000,KGM,"Carcasses and half-carcasses of lamb, fresh or chilled (KGM)",112,27125,178,43288
2563,3,1,AU,02042200,000,KGM,"Other cuts with bone in of other meat of sheep, fresh or chilled (KGM)",14878,8429629,51819,28742501
2563,3,1,AU,02042300,000,KGM,"Boneless of other meat of sheep, fresh or chilled (KGM)",2331,996157,8466,3286138
2563,3,1,AU,02043000,000,KGM,"Carcasses and half-carcasses of lamb, frozen (KGM)",0,0,1183,241022
2563,3,1,AU,02044200,000,KGM,"Other cuts with bone in of other meat of sheep, frozen (KGM)",55314,20768054,136145,49738376
2563,3,1,AU,02044300,000,KGM,"Boneless of other meat of sheep, frozen (KGM)",22179,6290179,117953,25065330
2563,3,1,AU,02045000,000,KGM,"Meat of goats (KGM)",1002,396361,1022,399198
2563,3,1,AU,02061000,000,KGM,"Of bovine animals, fresh or chilled (KGM)",684,193531,1737,497138
2563,3,1,AR,02062100,000,KGM,"Tongues of bovine animals, frozen (KGM)",10314,266582,77567,1828787
2563,3,1,AR,02062200,000,KGM,"Livers of bovine animals, frozen (KGM)",255396,7924845,687404,22580693
2563,3,1,AR,02062900,000,KGM,"Other (KGM)",1410168,34623246,4002762,93969571
2563,3,1,DE,02064100,000,KGM,"Livers of swine, frozen: (KGM)",938110,16754921,2620612,48810781
2563,3,1,DE,02064900,001,KGM,"Edible offal of swine (KGM)",1175450,17783599,2411425,37586755
2563,3,1,DE,02064900,090,KGM,"Other (KGM)",788614,16981316,1955506,42628156
2563,3,1,AU,02069000,000,KGM,"Other, frozen (KGM)",1875,54475,59447,2104314
2563,3,1,AU,02072791,000,KGM,"Mechanically deboned or separated meat (KGM)",0,0,44779,1775038
2563,3,1,AU,02072799,000,KGM,"Other (KGM)",0,0,5072,1263554
2563,3,1,FR,02074300,000,KGM,"Fatty livers of ducks, fresh or chilled (KGM)",11985,6405804,12835,6869537
2563,3,1,FR,02074500,000,KGM,"Other of ducks, frozen (KGM)",4837,1977122,31386,18238902
2563,3,1,FR,02075500,000,KGM,"Other  of geese, frozen (KGM)",104,117535,1833,1783755
2563,3,1,NZ,02089090,001,KGM,"Deer (KGM)",2000,690360,2069,699423
