Leg Key,Origin Port Key,Destination Port Key,Leg Miles
0,801,2743,5918.854022998426
1,2743,670,4386.473015028539
2,670,2199,9221.564535536638
3,934,2677,2940.4715856258026
4,2677,2815,3837.4550431951566
5,2815,2743,5664.933417264005
6,2743,671,4522.581348669882
7,4183,2813,4054.4174160600737
8,2813,2436,3688.662217191399
9,2436,3154,1492.9346986753112
10,3154,669,4795.38729925122
11,998,1260,6267.031384022638
12,1260,3821,4859.7586328432135
13,3821,1684,7107.116431627035
14,1684,182,2489.6441397185645
15,182,3832,8329.569132017523
16,2635,3056,5433.795729360187
17,3056,669,512.3719414408434
18,669,3819,7632.065343716061
19,2367,3830,6724.851179873394
20,3830,3199,6274.517153750533
21,3199,1599,5064.601078291018
22,1599,669,2347.748788294808
23,802,986,479.47411177486913
24,986,1013,6353.61483258665
25,1013,1691,914.261477641104
26,1691,671,4009.5251138405606
27,1295,1599,6864.535460349243
28,1599,3221,3230.6341467267075
29,3221,2906,3515.9076515999855
30,2906,232,5054.430953430816
31,4215,232,2711.0650668311487
32,232,669,11158.309971959892
33,1599,2141,139.8007090427732
34,2141,2199,10583.576916323027
35,3154,1481,2675.265036940265
36,1481,667,2372.3892256473473
37,667,670,335.3392825361483
38,2353,390,2953.44216446258
39,390,1163,2527.4475175887546
40,1163,670,5722.083037814902
41,15,1014,1781.1791873009327
42,1014,1684,1121.037691599585
43,1684,3056,4238.529710922009
44,3056,1481,2807.7777279949364
45,1403,2597,9698.942156121448
46,2597,2141,1639.320498447415
47,2141,1480,1884.9460102705348
48,1480,1951,3864.346610724787
49,1951,3830,7102.781577076418
50,2743,3823,4152.631066665805
51,3823,3355,3690.8497300197055
52,3355,1480,4958.589257610691
