Leg Schedule Key,Leg Key,Scheduled Departure Date,Scheduled Arrival Date,Actual Departure Date,Actual Departure Date
0,0,,,,
1,1,,,,
2,2,,,,
3,0,,,,
4,1,,,,
5,2,,,,
6,3,,,,
7,4,,,,
8,5,,,,
9,6,,,,
10,3,,,,
11,4,,,,
12,5,,,,
13,6,,,,
14,7,,,,
15,8,,,,
16,9,,,,
17,10,,,,
18,7,,,,
19,8,,,,
20,9,,,,
21,10,,,,
22,11,,,,
23,12,,,,
24,13,,,,
25,14,,,,
26,15,,,,
27,11,,,,
28,12,,,,
29,13,,,,
30,14,,,,
31,15,,,,
32,16,,,,
33,17,,,,
34,18,,,,
35,16,,,,
36,17,,,,
37,18,,,,
38,19,,,,
39,20,,,,
40,21,,,,
41,22,,,,
42,19,,,,
43,20,,,,
44,21,,,,
45,22,,,,
46,23,,,,
47,24,,,,
48,25,,,,
49,26,,,,
50,23,,,,
51,24,,,,
52,25,,,,
53,26,,,,
54,27,,,,
55,28,,,,
56,29,,,,
57,30,,,,
58,27,,,,
59,28,,,,
60,29,,,,
61,30,,,,
62,31,,,,
63,32,,,,
64,31,,,,
65,32,,,,
66,33,,,,
67,34,,,,
68,33,,,,
69,34,,,,
70,35,,,,
71,36,,,,
72,37,,,,
73,35,,,,
74,36,,,,
75,37,,,,
76,38,,,,
77,39,,,,
78,40,,,,
79,38,,,,
80,39,,,,
81,40,,,,
82,41,,,,
83,42,,,,
84,43,,,,
85,44,,,,
86,41,,,,
87,42,,,,
88,43,,,,
89,44,,,,
90,45,,,,
91,46,,,,
92,47,,,,
93,48,,,,
94,49,,,,
95,45,,,,
96,46,,,,
97,47,,,,
98,48,,,,
99,49,,,,
100,50,,,,
101,51,,,,
102,52,,,,
103,50,,,,
104,51,,,,
105,52,,,,
