Leg Key,Origin Port Key,Destination Port Key,Leg Miles
0,2367,3057,7696.002819368337
1,3057,1480,3046.6205976760684
2,2839,2743,6829.670764884544
3,2743,3826,4318.44963450561
4,3826,667,6689.761516954778
5,667,673,680.8275916818296
6,673,3830,7751.55138095397
7,4269,2,2187.7075453903335
8,2,2072,944.9214722695363
9,2072,1598,6356.7953809470155
10,1598,669,2820.050776431069
11,2636,2486,3072.8994169479565
12,2486,2493,559.6837448317546
13,2493,2857,3709.37689111601
14,2857,669,698.8439792144115
15,523,891,5670.903347440348
16,891,2141,6083.93608292894
17,2141,671,1541.3963425360078
18,671,1163,5931.021124129623
19,1163,232,5726.354881787219
20,523,284,5783.5486495972145
21,284,1953,7972.649770862136
22,1953,3827,6488.554889401642
23,3827,3828,795.4452714528717
24,1162,4249,5959.570738275228
25,4249,671,508.652314712706
26,671,232,10953.890453587845
27,2367,802,5154.59909390228
28,802,232,3121.8374393431172
29,2044,2368,2301.2547523872786
30,2368,2222,3088.5279176086174
31,2222,2234,2123.597398259015
32,2234,2199,5309.232986992958
33,2199,3828,1460.476565946243
34,3066,1013,2645.6932105183787
35,1013,232,6192.799863208011
36,232,3829,4669.181128965133
37,3829,2493,7993.144834997118
38,2493,670,2582.698224556252
39,2280,15,1038.52642415964
40,15,232,5251.720299900401
41,1600,1599,4.1622699984106015
42,1599,1692,3775.8752656020215
43,1692,3830,7930.367688881712
44,2906,1163,709.4154442059407
45,1163,1261,253.35059727271693
46,1261,3153,1386.48133650622
47,3153,1598,6828.116298548789
48,1598,670,2366.8146747444857
49,4214,670,10043.235043467983
50,670,1480,2290.849636598727
51,15,1163,934.3603174587948
52,1163,1162,285.1892639955202
53,1162,3824,4378.584929370393
54,3824,3825,500.48311284348995
55,62,2141,10181.31029605562
56,2141,669,2250.2783766438824
57,2368,2744,7710.4818764817055
58,2744,3222,4386.3348615396935
59,3222,2743,3115.639819612955
60,2743,670,4386.473015028539
61,670,231,11078.10389106183
62,2743,2653,2440.573693114684
63,2653,3823,3825.1220161528213
64,2905,522,6148.765359773348
65,522,998,1629.1422640823832
66,998,3837,2357.8998443203927
67,3837,3832,1216.994928457837
68,62,2947,9355.499241805164
69,2947,2743,4755.888714470468
70,2743,1481,3118.76707987319
71,34,890,444.9090235620342
72,890,3154,3414.0049026533875
73,3154,672,4897.209608520116
74,672,3828,7649.06611349944
75,1162,3199,1493.5314454347806
76,3199,2795,1902.866127503353
77,2795,1480,1864.2481048867176
78,2839,2367,3104.7637575924896
79,2367,3828,5569.222444532841
80,3828,3830,1236.683836384009
81,3830,3829,1064.9419063465457
82,1412,3821,2871.6471082017465
83,3821,2840,10375.326735780056
84,2840,1481,5413.0336050172655
85,1412,2091,6343.289863171099
86,2091,1794,875.5655626708618
87,1794,3355,871.5840085155974
88,3355,3828,3820.017730836563
89,1598,2044,5645.088999874628
90,2044,3154,3134.7754604908514
91,3154,3823,5392.870090659945
92,3823,2198,1924.7881547475738
93,62,1952,11065.298536942822
94,1952,1480,4418.656393336513
95,4214,1295,4201.025555735499
96,1295,2839,3222.9153582321314
97,2839,2493,4438.685400350906
98,2493,1481,700.608550775276
99,522,391,4672.19864353604
100,391,2795,6070.490597484004
101,2795,2044,2186.6084997391754
102,2044,1481,3330.910050480291
103,1598,1951,3032.0635447785335
104,1951,1480,3864.346610724787
105,1325,2141,5452.068146843878
106,2141,2598,1528.9668491686623
107,2598,1951,1552.5273385430485
108,2079,2234,8376.988281052056
109,2234,1684,3602.8046882210065
110,1684,3154,1608.7823786728914
111,3154,3826,6046.609361062892
112,3826,1951,5391.314840073462
113,2795,3154,1514.1012053575241
114,3154,2743,1939.2836626889532
115,2743,2199,5893.757609056712
116,2199,3830,616.8316983881432
117,2597,2857,1446.183379123924
118,2857,1163,5596.387919727935
119,1163,3828,4061.945654809281
120,3828,667,8359.980722794811
121,667,3829,8392.319281746904
122,1095,2256,4160.779240797425
123,2256,1951,2601.093277316657
124,15,2906,598.5553301590379
125,2906,2199,5453.0596014695075
126,2199,2743,5893.757609056712
127,2743,3085,4788.937278389402
128,3085,1480,1737.0653105001873
129,818,1163,5519.463204698023
130,1163,1260,275.59662652499605
131,1260,126,9750.567016699282
132,126,671,4289.540155472967
133,3084,2743,4831.40045793048
134,2743,3827,4368.935174892659
135,2493,2906,4197.0678537637095
136,2906,232,5054.430953430816
137,801,2368,5612.2027460514755
138,2368,1325,2494.2490205003755
139,1325,3056,5675.255949385007
140,3056,1480,3152.5924718593287
141,1480,672,3172.578016027832
142,34,3154,3816.3925845078843
143,3154,1950,5294.936975924026
144,1950,232,11602.502726486233
145,3050,2368,2798.8450515648874
146,2368,2804,1757.0590937343813
147,2804,3355,2805.2711675751516
148,3355,3829,3982.5618619798424
149,2368,1794,2780.428476453543
150,1794,669,5466.044338995778
151,669,671,718.1510018641093
152,671,3825,8132.044573978068
153,1260,3154,1214.5236522668797
154,3154,1481,2675.265036940265
155,2248,2168,4428.038778780717
156,2168,1684,2277.2197553276765
157,1684,1412,8406.31479708959
158,1412,670,9564.294064302238
159,670,668,1009.8833586995365
160,2234,1259,1728.1973884936817
161,1259,1740,1935.667701117278
162,1740,1600,4556.745434836391
163,1600,2141,143.7049372411897
164,2141,1950,2857.8684025929906
165,3118,2091,317.8238616380371
166,2091,3050,1201.698258229358
167,3050,4249,4292.14662596111
168,4249,1480,2115.7155999189763
169,1599,4249,1285.4436103277872
170,4249,3828,8578.203226590791
