Leg Schedule Key,Leg Key,Scheduled Departure Date,Scheduled Arrival Date,Actual Departure Date,Actual Departure Date
0,0,,,,
1,1,,,,
2,0,,,,
3,1,,,,
4,2,,,,
5,3,,,,
6,4,,,,
7,5,,,,
8,6,,,,
9,2,,,,
10,3,,,,
11,4,,,,
12,5,,,,
13,6,,,,
14,7,,,,
15,8,,,,
16,9,,,,
17,10,,,,
18,7,,,,
19,8,,,,
20,9,,,,
21,10,,,,
22,11,,,,
23,12,,,,
24,13,,,,
25,14,,,,
26,11,,,,
27,12,,,,
28,13,,,,
29,14,,,,
30,15,,,,
31,16,,,,
32,17,,,,
33,18,,,,
34,19,,,,
35,15,,,,
36,16,,,,
37,17,,,,
38,18,,,,
39,19,,,,
40,20,,,,
41,21,,,,
42,22,,,,
43,23,,,,
44,20,,,,
45,21,,,,
46,22,,,,
47,23,,,,
48,24,,,,
49,25,,,,
50,26,,,,
51,24,,,,
52,25,,,,
53,26,,,,
54,27,,,,
55,28,,,,
56,27,,,,
57,28,,,,
58,29,,,,
59,30,,,,
60,31,,,,
61,32,,,,
62,33,,,,
63,29,,,,
64,30,,,,
65,31,,,,
66,32,,,,
67,33,,,,
68,34,,,,
69,35,,,,
70,36,,,,
71,37,,,,
72,38,,,,
73,34,,,,
74,35,,,,
75,36,,,,
76,37,,,,
77,38,,,,
78,39,,,,
79,40,,,,
80,39,,,,
81,40,,,,
82,44,,,,
83,45,,,,
84,46,,,,
85,47,,,,
86,48,,,,
87,44,,,,
88,45,,,,
89,46,,,,
90,47,,,,
91,48,,,,
92,49,,,,
93,50,,,,
94,49,,,,
95,50,,,,
96,51,,,,
97,52,,,,
98,53,,,,
99,54,,,,
100,51,,,,
101,52,,,,
102,53,,,,
103,54,,,,
104,55,,,,
105,56,,,,
106,55,,,,
107,56,,,,
108,57,,,,
109,58,,,,
110,59,,,,
111,60,,,,
112,61,,,,
113,57,,,,
114,58,,,,
115,59,,,,
116,60,,,,
117,61,,,,
118,62,,,,
119,63,,,,
120,62,,,,
121,63,,,,
122,68,,,,
123,69,,,,
124,70,,,,
125,68,,,,
126,69,,,,
127,70,,,,
128,71,,,,
129,72,,,,
130,73,,,,
131,74,,,,
132,71,,,,
133,72,,,,
134,73,,,,
135,74,,,,
136,75,,,,
137,76,,,,
138,77,,,,
139,75,,,,
140,76,,,,
141,77,,,,
142,78,,,,
143,79,,,,
144,80,,,,
145,81,,,,
146,78,,,,
147,79,,,,
148,80,,,,
149,81,,,,
150,82,,,,
151,83,,,,
152,84,,,,
153,82,,,,
154,83,,,,
155,84,,,,
156,85,,,,
157,86,,,,
158,87,,,,
159,88,,,,
160,85,,,,
161,86,,,,
162,87,,,,
163,88,,,,
164,89,,,,
165,90,,,,
166,91,,,,
167,92,,,,
168,89,,,,
169,90,,,,
170,91,,,,
171,92,,,,
172,93,,,,
173,94,,,,
174,93,,,,
175,94,,,,
176,95,,,,
177,96,,,,
178,97,,,,
179,98,,,,
180,95,,,,
181,96,,,,
182,97,,,,
183,98,,,,
184,99,,,,
185,100,,,,
186,101,,,,
187,102,,,,
188,99,,,,
189,100,,,,
190,101,,,,
191,102,,,,
192,103,,,,
193,104,,,,
194,103,,,,
195,104,,,,
196,105,,,,
197,106,,,,
198,107,,,,
199,105,,,,
200,106,,,,
201,107,,,,
202,108,,,,
203,109,,,,
204,110,,,,
205,111,,,,
206,112,,,,
207,108,,,,
208,109,,,,
209,110,,,,
210,111,,,,
211,112,,,,
212,113,,,,
213,114,,,,
214,115,,,,
215,116,,,,
216,113,,,,
217,114,,,,
218,115,,,,
219,116,,,,
220,117,,,,
221,118,,,,
222,119,,,,
223,120,,,,
224,121,,,,
225,117,,,,
226,118,,,,
227,119,,,,
228,120,,,,
229,121,,,,
230,124,,,,
231,125,,,,
232,126,,,,
233,127,,,,
234,128,,,,
235,124,,,,
236,125,,,,
237,126,,,,
238,127,,,,
239,128,,,,
240,129,,,,
241,130,,,,
242,131,,,,
243,132,,,,
244,129,,,,
245,130,,,,
246,131,,,,
247,132,,,,
248,133,,,,
249,134,,,,
250,23,,,,
251,133,,,,
252,134,,,,
253,23,,,,
254,135,,,,
255,136,,,,
256,135,,,,
257,136,,,,
258,137,,,,
259,138,,,,
260,139,,,,
261,140,,,,
262,141,,,,
263,137,,,,
264,138,,,,
265,139,,,,
266,140,,,,
267,141,,,,
268,142,,,,
269,143,,,,
270,144,,,,
271,142,,,,
272,143,,,,
273,144,,,,
274,145,,,,
275,146,,,,
276,147,,,,
277,148,,,,
278,145,,,,
279,146,,,,
280,147,,,,
281,148,,,,
282,149,,,,
283,150,,,,
284,151,,,,
285,152,,,,
286,149,,,,
287,150,,,,
288,151,,,,
289,152,,,,
290,153,,,,
291,154,,,,
292,153,,,,
293,154,,,,
294,155,,,,
295,156,,,,
296,157,,,,
297,158,,,,
298,159,,,,
299,155,,,,
300,156,,,,
301,157,,,,
302,158,,,,
303,159,,,,
304,160,,,,
305,161,,,,
306,162,,,,
307,163,,,,
308,164,,,,
309,160,,,,
310,161,,,,
311,162,,,,
312,163,,,,
313,164,,,,
314,165,,,,
315,166,,,,
316,167,,,,
317,168,,,,
318,165,,,,
319,166,,,,
320,167,,,,
321,168,,,,
322,169,,,,
323,170,,,,
324,169,,,,
325,170,,,,
326,171,,,,
327,172,,,,
328,173,,,,
329,174,,,,
330,171,,,,
331,172,,,,
332,173,,,,
333,174,,,,
334,96,,,,
335,175,,,,
336,176,,,,
337,96,,,,
338,175,,,,
339,176,,,,
340,177,,,,
341,178,,,,
342,177,,,,
343,178,,,,
344,179,,,,
345,180,,,,
346,181,,,,
347,182,,,,
348,179,,,,
349,180,,,,
350,181,,,,
351,182,,,,
352,183,,,,
353,184,,,,
354,185,,,,
355,186,,,,
356,187,,,,
357,183,,,,
358,184,,,,
359,185,,,,
360,186,,,,
361,187,,,,
362,188,,,,
363,189,,,,
364,190,,,,
365,191,,,,
366,192,,,,
367,188,,,,
368,189,,,,
369,190,,,,
370,191,,,,
371,192,,,,
372,193,,,,
373,194,,,,
374,195,,,,
375,196,,,,
376,197,,,,
377,193,,,,
378,194,,,,
379,195,,,,
380,196,,,,
381,197,,,,
382,198,,,,
383,199,,,,
384,200,,,,
385,201,,,,
386,198,,,,
387,199,,,,
388,200,,,,
389,201,,,,
390,202,,,,
391,203,,,,
392,204,,,,
393,205,,,,
394,50,,,,
395,202,,,,
396,203,,,,
397,204,,,,
398,205,,,,
399,50,,,,
400,206,,,,
401,207,,,,
402,208,,,,
403,206,,,,
404,207,,,,
405,208,,,,
406,209,,,,
407,210,,,,
408,211,,,,
409,212,,,,
410,209,,,,
411,210,,,,
412,211,,,,
413,212,,,,
414,213,,,,
415,214,,,,
416,213,,,,
417,214,,,,
418,215,,,,
419,216,,,,
420,217,,,,
421,218,,,,
422,219,,,,
423,215,,,,
424,216,,,,
425,217,,,,
426,218,,,,
427,219,,,,
428,220,,,,
429,221,,,,
430,222,,,,
431,223,,,,
432,224,,,,
433,220,,,,
434,221,,,,
435,222,,,,
436,223,,,,
437,224,,,,
438,225,,,,
439,226,,,,
440,225,,,,
441,226,,,,
442,227,,,,
443,228,,,,
444,229,,,,
445,230,,,,
446,231,,,,
447,227,,,,
448,228,,,,
449,229,,,,
450,230,,,,
451,231,,,,
452,232,,,,
453,233,,,,
454,112,,,,
455,232,,,,
456,233,,,,
457,112,,,,
458,234,,,,
459,235,,,,
460,236,,,,
461,237,,,,
462,234,,,,
463,235,,,,
464,236,,,,
465,237,,,,
466,238,,,,
467,239,,,,
468,240,,,,
469,241,,,,
470,238,,,,
471,239,,,,
472,240,,,,
473,241,,,,
474,242,,,,
475,243,,,,
476,244,,,,
477,242,,,,
478,243,,,,
479,244,,,,
480,247,,,,
481,248,,,,
482,247,,,,
483,248,,,,
484,249,,,,
485,250,,,,
486,251,,,,
487,249,,,,
488,250,,,,
489,251,,,,
490,252,,,,
491,253,,,,
492,254,,,,
493,255,,,,
494,252,,,,
495,253,,,,
496,254,,,,
497,255,,,,
498,256,,,,
499,257,,,,
500,258,,,,
501,256,,,,
502,257,,,,
503,258,,,,
504,259,,,,
505,260,,,,
506,261,,,,
507,262,,,,
508,259,,,,
509,260,,,,
510,261,,,,
511,262,,,,
512,263,,,,
513,264,,,,
514,265,,,,
515,266,,,,
516,267,,,,
517,263,,,,
518,264,,,,
519,265,,,,
520,266,,,,
521,267,,,,
522,268,,,,
523,269,,,,
524,270,,,,
525,268,,,,
526,269,,,,
527,270,,,,
528,273,,,,
529,274,,,,
530,275,,,,
