Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key
0,0,,6165
1,1,,5056
2,2,,9346
3,2,,7822
4,2,,6789
5,3,,9117
6,3,,4277
7,3,,3297
8,4,,1546
9,4,,1882
10,5,,5672
11,5,,3353
12,6,,1419
13,6,,2027
14,7,,7732
15,7,,9645
16,8,,6615
17,8,,842
18,8,,4597
19,9,,621
20,9,,6952
21,9,,1549
22,10,,8329
23,10,,6974
24,11,,3007
25,11,,8362
26,12,,5939
27,13,,9367
28,13,,9074
29,14,,1654
30,15,,7475
31,16,,3909
32,16,,3836
33,17,,7592
34,17,,5416
35,17,,3754
36,18,,1210
37,18,,7544
38,19,,5731
39,19,,4150
40,19,,8565
41,20,,6552
42,21,,9863
43,22,,7905
44,22,,542
45,22,,8443
46,23,,828
47,23,,6438
48,23,,6254
49,24,,7943
50,25,,7876
51,26,,1676
52,26,,7029
53,27,,841
54,27,,837
55,28,,2926
56,29,,5468
57,30,,6055
58,30,,7786
59,30,,8984
60,31,,571
61,31,,2356
62,31,,2083
63,32,,5946
64,33,,1321
65,34,,6642
66,35,,109
67,35,,6009
68,36,,6434
69,36,,4808
70,37,,1593
71,37,,6846
72,38,,573
73,39,,2846
74,39,,1043
75,40,,9693
76,40,,1380
77,41,,3582
78,41,,2457
79,42,,6764
80,43,,8441
81,43,,7500
82,44,,3763
83,44,,8432
84,45,,4010
85,45,,9141
86,46,,6367
87,46,,4724
88,47,,7317
89,47,,5153
90,48,,6317
91,49,,3844
92,50,,1541
93,50,,6741
94,51,,3949
95,51,,4939
96,52,,2908
97,52,,8435
98,53,,8727
99,53,,6794
100,54,,9860
101,55,,4350
102,56,,3287
103,57,,4183
104,57,,9527
105,58,,4030
106,58,,2186
107,59,,7457
108,59,,7494
109,59,,6561
110,60,,685
111,60,,4339
112,61,,9341
113,61,,9184
114,62,,7838
115,62,,6163
116,63,,5647
117,63,,1825
118,63,,6398
119,64,,4372
120,64,,2637
121,65,,4727
122,65,,7709
123,65,,7375
124,66,,4320
125,66,,3250
126,67,,4036
127,67,,6122
128,68,,5307
129,69,,3867
130,69,,612
131,70,,1101
132,71,,8046
133,72,,6029
134,72,,5144
135,73,,8919
136,73,,3556
137,73,,3362
138,74,,1767
139,75,,6802
140,75,,4361
141,76,,4290
142,76,,7524
143,77,,8786
144,77,,1746
145,78,,5978
146,78,,6599
147,79,,4963
148,79,,3989
149,80,,8403
150,81,,2703
151,82,,1679
152,82,,2070
153,83,,4499
154,83,,6109
155,83,,1803
156,84,,8199
157,84,,4652
158,85,,620
159,85,,6923
160,85,,4522
161,86,,3400
162,86,,1330
163,87,,3944
164,87,,3749
165,88,,6835
166,89,,1528
167,90,,450
168,90,,4029
169,91,,4102
170,91,,7648
171,92,,1383
172,93,,8173
173,93,,9549
174,94,,8350
175,95,,3049
176,96,,1760
177,96,,7323
178,97,,1172
179,97,,8246
180,98,,7540
181,98,,1691
182,99,,3672
183,99,,8233
184,99,,1647
185,100,,6590
186,100,,8405
187,100,,9257
188,101,,3438
189,101,,5148
190,101,,8259
191,102,,6391
192,102,,1934
193,103,,7156
194,103,,2660
195,103,,5831
196,104,,2823
197,104,,7631
198,105,,8584
199,105,,2055
200,106,,8414
201,106,,7499
202,107,,343
203,107,,9715
204,107,,27
205,108,,5916
206,109,,1324
207,109,,2348
208,110,,9163
209,110,,7883
210,111,,3183
211,111,,2331
212,112,,169
213,113,,5395
214,114,,6006
