Voyage Key,Leg Bridge Key,Origin Port Key,Destination Port Key
0,1,2946,3056
1,2,3056,672
2,3,672,1597
3,4,1597,2856
4,5,2856,1162
5,6,1162,3826
6,7,3826,670
7,8,670,801
8,9,801,2198
9,10,2198,2492
10,11,2492,14
11,12,14,1691
12,13,1691,1597
13,14,1597,669
14,15,669,3823
15,16,3823,2140
16,17,2140,669
17,18,669,2652
18,19,2652,3836
19,20,3836,2742
20,21,2742,671
21,22,671,2794
22,23,2794,3829
23,24,3829,2839
24,25,2839,3354
25,26,3354,3822
26,27,3822,1951
27,28,1951,2492
28,29,2492,2043
29,30,2043,1950
30,31,1950,2597
31,32,2597,3825
32,33,3825,2198
33,34,2198,666
34,35,666,2255
35,36,2255,3084
36,37,3084,125
37,38,125,3826
38,39,2742,2905
39,40,2905,1479
40,41,1479,1949
41,42,1949,3354
42,43,3354,670
43,44,670,3153
44,45,3153,669
45,46,669,2140
46,47,2140,4248
47,48,4248,4248
48,49,4248,669
49,50,4213,1013
50,51,1013,2905
51,52,2905,668
52,53,668,1480
53,54,1480,3824
54,55,3824,3833
55,56,3833,668
56,57,668,669
57,58,667,3827
58,59,3827,667
59,60,667,181
60,61,181,3830
61,62,3830,1949
62,63,1949,3049
63,64,3049,3355
64,65,3355,3825
65,66,3355,1949
66,67,1949,61
67,68,61,669
68,69,669,2905
69,70,2905,2596
70,71,2596,3183
71,72,3183,2596
72,73,2596,3828
73,74,3828,671
74,75,671,670
75,76,670,3825
76,77,3825,60
77,78,60,1479
78,79,1479,3823
79,80,3823,181
80,81,181,1295
81,82,1295,985
82,83,985,3098
83,84,3098,3827
84,85,3827,2856
85,86,2856,670
86,87,670,2811
87,88,2811,3824
88,89,3824,1479
89,90,1479,2742
90,91,2742,1480
91,92,1480,231
92,93,231,3829
93,94,3829,2597
94,95,2597,3153
95,96,3153,1479
96,97,1479,3829
97,98,3829,2164
98,99,2164,2197
99,100,2197,1948
100,101,1948,3817
101,102,3817,231
102,103,231,2384
103,104,2384,2221
104,105,2221,3824
105,106,3824,668
106,107,668,3353
107,108,3353,34
108,109,34,201
109,110,201,181
110,111,181,1025
111,112,1025,672
112,113,672,2198
113,114,2198,1481
114,115,1481,181
115,116,181,3826
116,117,3826,521
117,118,521,2946
