Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs
1,,,64,1151,3565,4252,4940,4363,3686,,64,1151,2653,672,,,,,
2,,,4536,788,4246,3692,3450,3428,4536,,8806,788,1685,3823,,,,,
3,,,2363,736,3075,3075,3708,4926,4110,,2363,736,2796,1482,,,,,
4,,,233,2728,4643,4482,4708,4314,4708,,233,2728,2369,2200,,,,,
5,,,2363,1351,4617,4456,3562,3185,3687,,2363,1351,2536,1481,,,,,
6,,,4536,2694,3745,4318,4780,4888,3742,,8806,2694,1261,3824,,,,,
7,,,2432,222,4429,3328,3649,4441,3124,,2432,222,203,672,,,,,
8,,,4097,2265,3503,3338,3903,4635,3418,,8367,2265,126,3824,,,,,
9,,,2436,4156,3874,4701,4426,4536,3437,,2436,8426,2744,3832,,,,,
10,,,1605,948,3915,4008,4697,3091,4441,,1605,948,1692,671,,,,,
11,,,3437,2414,4530,3182,3392,3001,3828,,7707,2414,2045,3829,,,,,
12,,,2086,451,4687,4264,3882,4314,3923,,2086,451,2804,2199,,,,,
13,,,2852,1704,4971,3549,3892,4536,4966,,2852,1704,878,3836,,,,,
14,,,4243,1950,3641,4836,3641,4666,4538,,8513,1950,2142,1952,,,,,
15,,,2363,2448,4840,3955,4907,3798,3902,,2363,2448,3155,1481,,,,,
16,,,4401,3463,3463,3514,3514,3352,3543,,8671,7733,999,670,,,,,
17,,,1562,1262,3542,4824,4663,3808,3838,,1562,1262,2599,670,,,,,
18,,,3437,1950,3260,3655,3297,3001,4776,,7707,1950,2142,3825,,,,,
19,,,859,101,3407,4386,3297,4580,3828,,859,101,3051,3832,,,,,
20,,,2149,1794,4662,4967,3054,4717,3054,,2149,1794,1601,3831,,,,,
21,,,1038,113,3542,3945,4713,3484,4050,,1038,113,2599,671,,,,,
22,,,2819,2528,4214,3391,3428,4159,4966,,2819,2528,524,3827,,,,,
