Leg Schedule Bridge Key,Leg Schedule Key
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
4,14
4,15
4,16
5,17
5,18
5,19
5,20
5,21
6,22
6,23
6,24
6,25
6,26
7,27
7,28
7,29
7,30
7,31
8,32
8,33
8,34
8,35
8,36
9,37
9,38
9,39
9,40
10,41
10,42
10,43
10,44
11,45
11,46
11,47
11,48
12,49
12,50
12,51
12,52
13,53
13,54
13,55
14,56
14,57
14,58
15,59
15,60
15,61
16,62
16,63
16,64
17,65
17,66
17,67
17,68
17,69
18,70
18,71
18,72
18,73
18,74
19,75
19,76
19,77
19,78
19,79
20,80
20,81
20,82
20,83
20,84
21,85
21,86
21,87
21,88
21,89
22,90
22,91
22,92
22,93
22,94
