Leg Schedule Bridge Key,Leg Schedule Key
1,0
1,1
1,2
2,3
2,4
2,5
3,6
3,7
3,8
3,9
4,10
4,11
4,12
4,13
5,14
5,15
5,16
5,17
6,18
6,19
6,20
6,21
7,22
7,23
7,24
7,25
7,26
8,27
8,28
8,29
8,30
8,31
9,32
9,33
9,34
10,35
10,36
10,37
11,38
11,39
11,40
11,41
12,42
12,43
12,44
12,45
13,46
13,47
13,48
13,49
14,50
14,51
14,52
14,53
15,54
15,55
15,56
15,57
16,58
16,59
16,60
16,61
17,62
17,63
18,64
18,65
19,66
19,67
20,68
20,69
21,70
21,71
21,72
22,73
22,74
22,75
23,76
23,77
23,78
24,79
24,80
24,81
25,82
25,83
25,84
25,85
26,86
26,87
26,88
26,89
27,90
27,91
27,92
27,93
27,94
28,95
28,96
28,97
28,98
28,99
29,100
29,101
29,102
30,103
30,104
30,105
