Leg Schedule Bridge Key,Leg Schedule Key
1,0
1,1
1,2
2,3
2,4
2,5
3,6
3,7
3,8
4,9
4,10
4,11
5,12
5,13
6,14
6,15
7,16
7,17
7,18
7,19
8,20
8,21
8,22
8,23
9,24
9,25
9,26
9,27
10,28
10,29
10,30
10,31
11,32
11,33
12,34
12,35
13,36
13,37
13,38
13,39
13,40
14,41
14,42
14,43
14,44
14,45
15,46
15,47
15,48
16,49
16,50
16,51
17,52
17,53
17,54
18,55
18,56
18,57
19,58
19,59
19,60
19,61
19,62
20,63
20,64
20,65
20,66
20,67
21,68
21,69
21,70
21,71
22,72
22,73
22,74
22,75
23,76
23,77
23,78
23,79
24,80
24,81
24,82
24,83
25,84
25,85
25,86
25,87
25,88
26,89
26,90
26,91
26,92
26,93
27,94
27,95
27,96
27,97
27,98
28,99
28,100
28,101
28,102
28,103
29,104
29,105
30,106
30,107
31,108
31,109
31,110
31,111
31,112
32,113
32,114
32,115
32,116
32,117
33,118
33,119
33,120
33,121
33,122
34,123
34,124
34,125
34,126
34,127
35,128
35,129
35,130
36,131
36,132
36,133
37,134
37,135
37,136
38,137
38,138
38,139
39,140
39,141
39,142
40,143
40,144
40,145
41,146
41,147
41,148
42,149
42,150
42,151
43,152
43,153
43,154
44,155
44,156
44,157
45,158
45,159
46,160
46,161
47,162
47,163
48,164
48,165
49,166
49,167
49,168
49,169
49,170
50,171
50,172
50,173
50,174
50,175
51,176
51,177
51,178
51,179
51,180
52,181
52,182
52,183
52,184
52,185
53,186
53,187
53,188
53,189
53,190
54,191
54,192
54,193
54,194
54,195
55,196
55,197
55,198
55,199
56,200
56,201
56,202
56,203
57,204
57,205
57,206
57,207
58,208
58,209
58,210
58,211
59,212
59,213
59,214
59,215
60,216
60,217
60,218
60,219
61,220
61,221
61,222
61,223
62,224
62,225
62,226
62,227
63,228
63,229
63,230
64,231
64,232
64,233
65,234
65,235
65,236
65,237
65,238
66,239
66,240
66,241
66,242
66,243
67,244
67,245
67,246
67,247
68,248
68,249
68,250
68,251
69,252
69,253
69,254
70,255
70,256
70,257
71,258
71,259
71,260
72,261
72,262
72,263
73,264
73,265
73,266
73,267
73,268
74,269
74,270
74,271
74,272
74,273
75,274
75,275
75,276
75,277
75,278
76,279
76,280
76,281
76,282
76,283
77,284
77,285
77,286
77,287
78,288
78,289
78,290
78,291
79,292
79,293
79,294
80,295
80,296
80,297
81,298
81,299
81,300
81,301
81,302
82,303
82,304
82,305
82,306
82,307
83,308
83,309
83,310
83,311
83,312
84,313
84,314
84,315
84,316
84,317
85,318
85,319
85,320
85,321
85,322
86,323
86,324
86,325
86,326
86,327
87,328
87,329
87,330
87,331
87,332
88,333
88,334
88,335
88,336
88,337
89,338
89,339
89,340
89,341
89,342
90,343
90,344
90,345
90,346
90,347
91,348
91,349
91,350
91,351
92,352
92,353
92,354
92,355
93,356
93,357
93,358
93,359
94,360
94,361
94,362
94,363
95,364
95,365
95,366
95,367
95,368
96,369
96,370
96,371
96,372
96,373
97,374
97,375
98,376
98,377
99,378
99,379
100,380
100,381
101,382
101,383
101,384
101,385
102,386
102,387
102,388
102,389
103,390
103,391
103,392
103,393
104,394
104,395
104,396
104,397
105,398
105,399
106,400
106,401
107,402
107,403
107,404
107,405
107,406
108,407
108,408
108,409
108,410
108,411
109,412
109,413
109,414
109,415
110,416
110,417
110,418
110,419
111,420
111,421
111,422
111,423
111,424
112,425
112,426
112,427
112,428
112,429
113,430
113,431
113,432
113,433
113,434
114,435
114,436
114,437
114,438
114,439
115,440
115,441
115,442
115,443
116,444
116,445
116,446
116,447
117,448
117,449
117,450
118,451
118,452
118,453
119,454
119,455
119,456
120,457
120,458
120,459
121,460
121,461
122,462
122,463
123,464
123,465
123,466
123,467
123,468
124,469
124,470
124,471
124,472
124,473
125,474
125,475
125,476
126,477
126,478
126,479
127,480
127,481
127,482
127,483
128,484
128,485
128,486
128,487
129,488
129,489
130,490
130,491
131,492
131,493
131,494
131,495
132,496
132,497
132,498
132,499
133,500
133,501
133,502
133,503
133,504
134,505
134,506
134,507
134,508
134,509
135,510
135,511
135,512
136,513
136,514
136,515
137,516
137,517
137,518
137,519
138,520
138,521
138,522
138,523
139,524
139,525
140,526
140,527
141,528
141,529
141,530
141,531
141,532
142,533
142,534
142,535
142,536
142,537
143,538
143,539
143,540
143,541
143,542
144,543
144,544
144,545
144,546
144,547
145,548
145,549
145,550
145,551
146,552
146,553
146,554
146,555
147,556
147,557
148,558
148,559
149,560
149,561
149,562
149,563
149,564
150,565
150,566
150,567
150,568
150,569
151,570
151,571
151,572
152,573
152,574
152,575
153,576
153,577
153,578
153,579
153,580
154,581
154,582
154,583
154,584
154,585
155,586
155,587
155,588
155,589
156,590
156,591
156,592
156,593
157,594
157,595
157,596
158,597
158,598
158,599
159,600
159,601
159,602
159,603
160,604
160,605
160,606
160,607
161,608
161,609
161,610
161,611
162,612
162,613
162,614
162,615
163,616
163,617
163,618
164,619
164,620
164,621
165,622
165,623
166,624
166,625
167,626
167,627
168,628
168,629
