Port Key,Address Key,Port Name,Port Type,Port Size,Phone,Fax,800 Number,UN/LOCODE,Email,Website
0,3001,"""Durres""","""Seaport""","""Small""","""355 52 23115""","""355 52 22028""",,"""ALDRZ""","""apd@san.com.al""",
1,3002,"""Sarande""","""Pier, Jetty or Wharf""","""Small""","""355 85 25827""","""355 85 25827""",,,,
2,3003,"""Shengjin""","""Harbor""","""Small""",,,,,,
3,3004,"""Valona""",,,,,,,,
4,3005,"""Vlore""","""Seaport""","""Small""",,,,,"""porti-vlore@aul.com.al""",
5,3006,"""Alger""","""Deepwater Seaport""","""Large""","""213 21 423614""","""213 21 423603""",,,"""epal@portalger.com.dz""","""www.portalger.com.dz"""
6,3007,"""Algeria""",,,,,,,,
7,3008,"""Annaba""","""Seaport""","""Medium""","""213 38 86 3143""","""213 38 86 54 15""",,,"""epan@annaba-port.com""","""www.annaba-port.com"""
8,3009,"""Arzew""","""Seaport""","""Small""","""213 41 477127""","""213 41 477985""",,,,
9,3010,"""Arzew El-Djedid""",,,,,,,,
10,3011,"""Bejaia""","""Deepwater Seaport""","""Large""","""213 34 21 18 07""","""213 34 20 14 88""",,,"""portbj@portdebejaia.dz""","""www.portdebejaia.com.dz"""
11,3012,"""Benisaf""",,,,,,,,
12,3013,"""Beni Saf""","""Harbor""","""Small""","""213 43 225468""",,,,,
13,3014,"""Cherchell""","""Harbor""","""Small""",,,,,,
14,3015,"""Collo""","""Harbor""","""Small""",,,,,,
15,3016,"""Dellys""","""Harbor""","""Small""","""213 21 429377""",,,,,
16,3017,"""Djen-Djen""","""Seaport""","""Small""","""213 034 44 65 64""","""213 034 44 52 60""",,,"""epjdjendjen@wissal.dz""","""www.djendjen-port.com.dz"""
17,3018,"""Ghazaouet""","""Seaport""","""Small""","""213 43 323345""","""213 43 326255""",,,,
18,3019,"""Jijel""","""Harbor""","""Small""","""213 34 965334""",,,,,
19,3020,"""Mestghanem""",,,,,,,,
20,3021,"""Mostaganem""","""Harbor""","""Small""","""213 45 215938""","""213 45 217805""",,"""DZMOS""",,
21,3022,"""Oran""","""Seaport""","""Medium""","""213 41 332441""","""213 41 332498""",,"""DZORN""",,
22,3023,"""Port Methanier""",,,,,,,,
23,3024,"""Skikda""","""Seaport""","""Medium""","""213 38 756827""","""213 38 752015""",,,"""info@skikda-port.com""","""www.skikda-port.com"""
24,3025,"""Tenes""","""Harbor""","""Small""","""213 27 767276""","""213 27 766589""",,,"""asiporttenes@yahoo.fr""",
25,3026,"""Pago Pago""","""Seaport""","""Medium""","""684 633-4251""","""684 633-5281""",,"""ASPPG""",,"""americansamoa.gov"""
26,3027,"""Ambriz""","""Pier, Jetty or Wharf""","""Very Small""",,,,,,
27,3028,"""Cabinda""","""Pier, Jetty or Wharf""","""Very Small""","""244 231 222464""","""244 231 222464""",,"""AOCAB""",,
28,3029,"""Essungo Marine Terminal""",,,,,,,,
29,3030,"""Futila Terminal""",,,,,,,,
30,3031,"""Girassol Terminal""",,,,,,,,
31,3032,"""Kiabo Marine Terminal""",,,,,,,,
32,3033,"""Kiame Marine Terminal""",,,,,,,,
33,3034,"""Lobito""","""Deepwater Seaport""","""Medium""","""244 722 23439""","""244 272 222719""",,"""AOLOB""",,
34,3035,"""Lombo Marine Terminal""",,,,,,,,
35,3036,"""Luanda""","""Deepwater Seaport""","""Medium""","""+244 2 335975""",,,"""AOLAD""","""portoluanda@snet.co.ao""","""www.otal.com/angola"""
36,3037,"""Malongo Terminal""","""Pier, Jetty or Wharf""","""Very Small""","""+244 2 391141""","""+244 2 391391""",,,"""amrmr@chevron.com""","""www.otal.com/angola"""
37,3038,"""Mocamedes""","""Harbor""","""Small""","""244 222 390034""","""244 217 653435""",,,,"""www.otal.com/angola"""
38,3039,"""Palanca Terminal""",,,,,,,,
39,3040,"""Porto Amboim""","""Harbor""","""Small""",,,,,,
40,3041,"""Soyo""","""Harbor""","""Small""","""+244 2 390148""","""+244 2 391031""",,"""AOSZA""",,"""www.otal.com/angola"""
41,3042,"""Sumbe""",,,,,,,,
42,3043,"""Takula Terminal""",,,,,,,,
43,3044,"""St. Johns""",,,,,,,,
44,3045,"""Arroyo Seco""",,,,,,,,
45,3046,"""Atucha""",,,,,,,,
46,3047,"""Bahia Blanca""","""River Port""","""Small""",,,,"""ARBHI""",,"""www.puertobahiablanca.com"""
47,3048,"""Buenos Aires""","""Deepwater Seaport""","""Large""","""(54) 11 4342-1727""",,,"""ARBUE""","""institucionales@puertobuenosaires.gov.ar""","""www.puertobuenosaires.gov.ar"""
48,3049,"""Caleta Paula""",,,,,,,,
49,3050,"""Campana""","""River Port""","""Small""","""(0054-3489)422890""",,,"""ARCMP""",,"""www.consejoportuario.com.ar"""
50,3051,"""Comodoro Rivadacomod""",,,,,,,,
51,3052,"""Concepcion""",,,,,,,,
52,3053,"""Deseado""","""Seaport""","""Medium""","""54 0297-4872234""","""54 0297-487091466""",,,"""pdeseado@pdeseado.com.ar""","""www.scruz.gov.ar/puertos"""
53,3054,"""Diamante""","""River Port""","""Small""",,,,,,
54,3055,"""Ensenada""",,,,,,"""MXESE""",,
55,3056,"""Ibicuy""","""River Port""","""Very Small""","""03446 498407""",,,,,"""www.consejoportuario.com.ar/puertos.aspx?id=38"""
56,3057,"""La Plata""","""River Port""","""Medium""","""54 221 460 0203""",,,"""ARLPG""","""Info@laplataport.com.ar""","""www.laplataport.com.ar"""
