Voyage Key,Leg Bridge Key,Origin Port Key,Destination Port Key
0,1,2198,2596
1,2,2596,3825
2,3,3825,2742
3,4,2742,668
4,5,668,1480
5,6,1480,3823
6,7,3823,2247
7,8,2247,181
8,9,181,1163
9,10,1163,2857
10,11,2857,231
11,12,231,2492
12,13,2492,201
13,14,201,669
14,15,669,231
15,16,231,3832
16,17,3832,3106
17,18,3106,670
18,19,670,669
19,20,669,671
20,21,671,3826
21,22,3826,3817
22,23,3817,2254
23,24,2254,670
24,25,670,3355
25,26,3355,4214
26,27,4214,2550
27,28,2550,3829
28,29,3829,2946
29,30,2946,2485
30,31,2485,1951
31,32,1951,2742
32,33,2742,125
33,34,125,4213
34,35,4213,1479
35,36,1479,2839
36,37,2839,2856
37,38,2856,671
38,39,671,3829
39,40,3829,4248
40,41,4248,2742
41,42,2742,3198
42,43,3198,669
43,44,669,4213
44,45,4213,857
45,46,857,2856
46,47,2856,1683
47,48,1683,672
48,49,672,1479
49,50,1479,1411
50,51,1411,668
51,52,668,231
52,53,231,2905
53,54,2905,181
54,55,181,2814
55,56,2814,2743
56,57,2743,3198
57,58,3198,3833
58,59,3833,1951
59,60,1951,670
60,61,670,231
61,62,231,2197
62,63,2197,1599
63,64,1599,34
64,65,34,3827
65,66,3827,1739
66,67,1739,1683
67,68,1683,3825
68,69,3825,3153
69,70,3153,3827
70,71,3827,3828
71,72,3828,2905
72,73,2905,3083
73,74,3083,1402
74,75,1402,61
75,76,61,3084
76,77,3084,3828
77,78,3828,668
78,79,668,668
79,80,2550,3826
80,81,3826,2366
81,82,2366,3825
82,83,3825,4264
83,84,4264,1683
84,85,1683,2856
85,86,2856,1013
86,87,1013,1950
87,88,1950,3823
88,89,3823,3822
89,90,3822,1162
90,91,1162,2198
