Port Authority:,Phone:,Fax:,800 Number:,Email:,Web Site:,Latitude:,Longitude:,UN/LOCODE:,Port Type:,Port Size:,Max Draft:,Address,Address Line 1,Address Line 2,Country,City
Sarande Port Authority,355 85 25827,355 85 25827,,,,39º 52' 59'' N,20º 0' 0'' E,,"Pier, Jetty or Wharf",Small, m,"['Port Office', 'Sarande Port', 'Sarande', 'Albania']",Port Office,Sarande Port,Albania,Sarande
Shengjin Port Authority,,,,,,41º 49' 0'' N,19º 36' 0'' E,,Harbor,Small, m,"['Shengjin', 'Albania']",,Shengjin,Albania,
,,,,,,40º 26' 59'' N,19º 29' 54'' E,,,, m,,,,Albania,
Vlore Drejtoria e Portit Detar,,,,porti-vlore@aul.com.al,,40º 29' 48'' N,19º 27' 31'' E,,Seaport,Small, m,['Albania'],,,Albania,
Entreprise Portuaire d'Alger,213 21 423614,213 21 423603,,epal@portalger.com.dz,www.portalger.com.dz,36º 47' 9'' N,3º 3' 54'' E,,Deepwater Seaport,Large, m,"[""02 Rue d'Angkor"", 'BP 259', 'Algiers, Gare 259', 'Algeria']",BP 259,"Algiers, Gare 259",Algeria,
,,,,,,36º 46' 52'' N,3º 3' 49'' E,,,, m,,,,Algeria,
Entreprise Portuaire de Annaba,213 38 86 3143,213 38 86 54 15,,epan@annaba-port.com,www.annaba-port.com,36º 54' 29'' N,7º 46' 15'' E,,Seaport,Medium, m,"['Mole Cigogne', 'Quai Nord', 'Annaba 1232 - 23000', 'Algeria']",Quai Nord,Annaba 1232 - 23000,Algeria,
Entreprise Portuaire d'Arzew,213 41 477127,213 41 477985,,,,35º 49' 23'' N,0º -17' -53'' W,,Seaport,Small, m,"['BP 46', '7 Larbi Tebessi', 'Arzew 31200', 'Algeria']",7 Larbi Tebessi,Arzew 31200,Algeria,
,,,,,,35º 47' 43'' N,0º -11' -59'' W,,,, m,,,,Algeria,
Enreprise Portuaire de Bejaia,213 34 21 18 07,213 34 20 14 88,,portbj@portdebejaia.dz,www.portdebejaia.com.dz,36º 45' 0'' N,5º 4' 34'' E,,Deepwater Seaport,Large, m,"['13, avenue des freres Amrani', 'Bejaia 06000', 'Algeria']","13, avenue des freres Amrani",Bejaia 06000,Algeria,
,,,,,,35º 10' 12'' N,-1º -13' -47'' W,,,, m,,,,Algeria,
Entreprise Portuaire de Beni Saf,213 43 225468,,,,,35º 17' 60'' N,-1º -22' -59'' W,,Harbor,Small, m,"['Route du Port', 'Beni Saf', 'Algeria']",Route du Port,Beni Saf,Algeria,
,,,,,,36º 36' 0'' N,2º 10' 59'' E,,Harbor,Small, m,"['Cherchell', 'Algeria']",,Cherchell,Algeria,
,,,,,,37º 2' 52'' N,6º 32' 16'' E,,Harbor,Small, m,"['Collo', 'Algeria']",,Collo,Algeria,
