Port Link,Port Name,Country Name
https://www.searates.com/port/durres_al.htm,Durres,Albania
https://www.searates.com/port/sarande_al.htm,Sarande,Albania
https://www.searates.com/port/shengjin_al.htm,Shengjin,Albania
https://www.searates.com/port/valona_al.htm,Valona,Albania
https://www.searates.com/port/vlore_al.htm,Vlore,Albania
https://www.searates.com/port/alger_dz.htm,Alger,Algeria
https://www.searates.com/port/algeria_dz.htm,Algeria,Algeria
https://www.searates.com/port/annaba_dz.htm,Annaba,Algeria
https://www.searates.com/port/arzew_dz.htm,Arzew,Algeria
https://www.searates.com/port/arzew_el_djedid_dz.htm,Arzew El-Djedid,Algeria
https://www.searates.com/port/bejaia_dz.htm,Bejaia,Algeria
https://www.searates.com/port/benisaf_dz.htm,Benisaf,Algeria
https://www.searates.com/port/beni_saf_dz.htm,Beni Saf,Algeria
https://www.searates.com/port/cherchell_dz.htm,Cherchell,Algeria
https://www.searates.com/port/collo_dz.htm,Collo,Algeria
https://www.searates.com/port/dellys_dz.htm,Dellys,Algeria
https://www.searates.com/port/djen_djen_dz.htm,Djen-Djen,Algeria
https://www.searates.com/port/ghazaouet_dz.htm,Ghazaouet,Algeria
https://www.searates.com/port/jijel_dz.htm,Jijel,Algeria
https://www.searates.com/port/mestghanem_dz.htm,Mestghanem,Algeria
https://www.searates.com/port/mostaganem_dz.htm,Mostaganem,Algeria
https://www.searates.com/port/oran_dz.htm,Oran,Algeria
https://www.searates.com/port/port_methanier_dz.htm,Port Methanier,Algeria
https://www.searates.com/port/skikda_dz.htm,Skikda,Algeria
https://www.searates.com/port/tenes_dz.htm,Tenes,Algeria
https://www.searates.com/port/pago_pago_as.htm,Pago Pago,American Samoa
https://www.searates.com/port/ambriz_ao.htm,Ambriz,Angola
https://www.searates.com/port/cabinda_ao.htm,Cabinda,Angola
https://www.searates.com/port/essungo_marine_terminal_ao.htm,Essungo Marine Terminal,Angola
https://www.searates.com/port/futila_terminal_ao.htm,Futila Terminal,Angola
https://www.searates.com/port/girassol_terminal_ao.htm,Girassol Terminal,Angola
https://www.searates.com/port/kiabo_marine_terminal_ao.htm,Kiabo Marine Terminal,Angola
https://www.searates.com/port/kiame_marine_terminal_ao.htm,Kiame Marine Terminal,Angola
https://www.searates.com/port/lobito_ao.htm,Lobito,Angola
https://www.searates.com/port/lombo_marine_terminal_ao.htm,Lombo Marine Terminal,Angola
https://www.searates.com/port/luanda_ao.htm,Luanda,Angola
https://www.searates.com/port/malongo_terminal_ao.htm,Malongo Terminal,Angola
https://www.searates.com/port/mocamedes_ao.htm,Mocamedes,Angola
https://www.searates.com/port/palanca_terminal_ao.htm,Palanca Terminal,Angola
https://www.searates.com/port/porto_amboim_ao.htm,Porto Amboim,Angola
https://www.searates.com/port/soyo_ao.htm,Soyo,Angola
https://www.searates.com/port/sumbe_ao.htm,Sumbe,Angola
