IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam
9465289,MSC CAPELLA,Container Ship,Panama,141635,141103,366,48,None,2012,None,,,,Cargo ship (HAZ-D),SGSIN,"May 6, 00:01",9465289 / 373031000,3EUI7,366 / 48 m,13.6 m,86.0° / 7.5 kn,6.14889 N/94.47007 E,373031000,86.0°,7.5 kn,6.14889,94.47007,366,48 m
9465265,MSC VEGA,Container Ship,Liberia,141635,140989,366,48,None,2012,None,,,,Cargo ship,CNTXG>>CNDNG,"Apr 26, 01:00",9465265 / 636015506,D5BE4,366 / 48 m,6.8 m,262.0° / 0.0 kn,39.0066 N/121.6898 E,636015506,262.0°,0.0 kn,39.0066,121.6898,366,48 m
9465291,MSC REGULUS,Container Ship,Panama,141635,140951,366,48,None,2012,None,,,,Cargo ship (HAZ-B),EGSUZ,"May 4, 01:30",9465291 / 373068000,3EYG3,366 / 48 m,15.7 m,115.0° / 20.6 kn,36.26922 N/19.76324 E,373068000,115.0°,20.6 kn,36.26922,19.76324,366,48 m
9465253,MSC BENEDETTA,Container Ship,Liberia,141635,140991,366,48,None,2011,None,,,,Cargo ship (HAZ-B),SAKAC,"Apr 8, 12:00",9465253 / 636092804,D5OY6,366 / 48 m,16.5 m,243.0° / 16.8 kn,20.89118 N/65.82928 E,636092804,243.0°,16.8 kn,20.89118,65.82928,366,48 m
9465318,MSC MARGRIT,Container Ship,Hong Kong,141635,141141,366,48,None,2012,None,,,,Cargo ship (HAZ-A),CNNGB,"Apr 30, 22:00",9465318 / 477307400,VRPL3,366 / 48 m,12.3 m,44.0° / 20.4 kn,31.26248 N/125.11932 E,477307400,44.0°,20.4 kn,31.26248,125.11932,366,48 m
9465241,MSC CRISTINA,Container Ship,Liberia,141635,141184,366,48,None,2011,None,,,,Cargo ship (HAZ-D),EGSUZ,"May 3, 20:30",9465241 / 636016858,D5BU7,366 / 48 m,15.0 m,320.0° / 15.1 kn,24.19478 N/37.12193 E,636016858,320.0°,15.1 kn,24.19478,37.12193,366,48 m
9465306,MSC RENEE,Container Ship,Hong Kong,141635,140958,366,48,None,2012,None,,,,Cargo ship (HAZ-A),LKCMB,"May 5, 09:30",9465306 / 477307300,VRPL2,366 / 48 m,15.0 m,44.0° / 16.2 kn,16.8371 S/56.72407 E,477307300,44.0°,16.2 kn,-16.8371,56.72407,366,48 m
9488279,PSU SIXTH,Bulk Carrier,Singapore,141575,263055,328,57,None,2013,,None,None,,Cargo ship,CN QDG,"May 18, 18:00",9488279 / 566870000,S6OP,328 / 58 m,17.9 m,25.0° / 9.6 kn,18.904 S/118.98491 E,566870000,25.0°,9.6 kn,-18.904,118.98491,328,58 m
9820269,FANREACH,Container Ship,Iran,141514,148582,366,48,None,2018,None,,,,Cargo ship (HAZ-B),CNNSA,"May 2, 11:30",9820269 / 422154100,EPGX2,366 / 48 m,12.5 m,48.4° / 0.0 kn,22.08398 N/113.91584 E,422154100,48.4°,0.0 kn,22.08398,113.91584,366,48 m
9820257,GOODREACH,Container Ship,Iran,141514,148611,366,48,None,2018,None,,,,Cargo ship,SHANGHAI,"May 11, 15:30",9820257 / 422153500,EPGW5,366 / 48 m,15.0 m,89.0° / 15.9 kn,5.8191 N/89.90781 E,422153500,89.0°,15.9 kn,5.8191,89.90781,366,48 m
