Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs
,,,3388,2279,4546,4773,4672,4766,3164,,7658,2279,2552,670,,,,,
,,,2363,1614,4128,4128,4572,3632,4066,,2363,1614,1741,1482,,,,,
,,,2363,1415,4802,3358,3757,3093,4114,,2363,1415,1598,1482,,,,,
,,,3848,3035,3506,3580,3461,3469,3401,,8118,7305,3058,670,,,,,
,,,4401,2947,4530,3442,4197,3537,3507,,8671,2947,2804,672,,,,,
,,,3141,4126,4126,4789,3777,3111,4538,,7411,8396,2223,1952,,,,,
,,,4232,4909,3798,3896,3141,3723,3414,,8502,9179,2744,1951,,,,,
,,,1734,1870,4264,4761,4952,4255,3215,,1734,1870,1163,670,,,,,
,,,18,2617,3272,3314,3759,4931,4462,,18,2617,2369,670,,,,,
,,,2363,762,4043,4820,4831,4905,3164,,2363,762,4250,1482,,,,,
,,,642,3450,3921,3347,3983,4349,3686,,642,7720,1685,672,,,,,
,,,3332,692,4384,4384,4384,3404,4697,,7602,692,2249,675,,,,,
,,,654,2379,3293,3114,3156,3475,3333,,654,2379,3067,672,,,,,
,,,614,3995,3995,4650,3464,3130,3886,,614,8265,2385,233,,,,,
,,,533,2335,3451,4451,3330,4962,4580,,533,2335,63,3834,,,,,
,,,1298,2448,3307,3955,3914,4888,3418,,1298,2448,3155,3829,,,,,
,,,3856,1289,3749,4335,4088,4287,3856,,8126,1289,889,3826,,,,,
,,,4229,553,3597,3765,3723,4835,3667,,8499,553,1599,1953,,,,,
,,,2426,1951,4001,3744,3145,4580,3446,,2426,1951,2257,3834,,,,,
,,,2520,948,3998,3211,3469,3381,4125,,2520,948,1693,672,,,,,
,,,2363,1500,3335,4049,3951,3706,4918,,2363,1500,1164,1483,,,,,
,,,1144,117,3126,3126,4712,3723,3111,,1144,117,1795,1954,,,,,
,,,2852,1093,3866,3815,4780,4832,3437,,2852,1093,2235,3827,,,,,
,,,976,1683,3802,4147,4717,3446,3751,,976,1683,63,3825,,,,,
,,,4634,1311,4793,4375,4634,3723,4921,,8904,1311,4250,1951,,,,,
,,,1146,3371,4057,3949,3371,4832,4424,,1146,7641,172,3828,,,,,
,,,1146,3864,3456,3175,3367,3437,3297,,1146,8134,1600,3831,,,,,
,,,1555,2448,3137,3955,4684,4795,4678,,1555,2448,3155,670,,,,,
,,,3110,2658,4767,3098,3630,3580,4678,,7380,2658,2080,673,,,,,
,,,2640,111,4757,3391,4202,4281,4304,,2640,111,524,233,,,,,
,,,1298,2588,4452,3826,4452,4159,3054,,1298,2588,285,3825,,,,,
,,,2363,4565,4167,4167,4066,4946,4174,,2363,8835,4184,1481,,,,,
,,,3774,4277,4169,4872,3222,3696,4963,,8044,8547,2599,669,,,,,
,,,225,3519,3519,4436,3351,4969,4797,,225,7789,2908,233,,,,,
,,,2786,716,3707,4652,3536,4635,4455,,2786,716,1599,3830,,,,,
,,,3421,280,3745,4318,4082,4100,4207,,7691,280,1262,672,,,,,
,,,1283,463,4383,4381,4463,4962,4424,,1283,463,803,3827,,,,,
,,,3667,991,4037,3274,3272,4388,4829,,7937,991,2368,1953,,,,,
,,,2363,4793,4043,4375,3103,3361,4489,,2363,9063,4250,1482,,,,,
,,,4981,1361,3004,3004,3579,4480,4981,,9251,1361,1795,2199,,,,,
,,,1189,3450,3692,3983,3921,4287,4287,,1189,7720,1685,3827,,,,,
,,,285,1224,3057,4937,3294,3351,4311,,285,1224,2598,233,,,,,
,,,2866,1433,4305,4907,4840,4888,4455,,2866,1433,891,3829,,,,,
,,,445,2265,3384,4425,4928,3682,3218,,445,2265,127,670,,,,,
,,,488,1071,3126,3397,4357,4357,4357,,488,1071,1795,183,,,,,
,,,533,2089,3030,3837,3301,4159,3437,,533,2089,1600,3821,,,,,
,,,2304,2709,4001,4150,3574,3646,4892,,2304,2709,2257,671,,,,,
,,,2344,371,4241,3759,4536,3446,3437,,2344,371,2369,3825,,,,,
,,,2336,2452,4216,4113,4635,3418,4821,,2336,2452,2858,3824,,,,,
,,,3589,204,4517,3519,4997,4760,3215,,7859,204,2907,670,,,,,
,,,3437,2488,4384,4384,4384,4308,4962,,7707,2488,2249,3833,,,,,
,,,2067,736,3075,3075,4301,4201,3686,,2067,736,2796,669,,,,,
,,,2360,963,4859,4859,4272,4229,3128,,2360,963,2526,1952,,,,,
,,,2363,570,3386,4376,4376,4586,3742,,2363,570,2494,1482,,,,,
,,,1813,3263,3263,3263,3381,3640,3588,,1813,7533,2816,671,,,,,
,,,3742,948,4986,4116,4537,4308,3742,,8012,948,1693,3825,,,,,
,,,3441,235,3921,3347,3450,3441,3253,,7711,235,1685,183,,,,,
,,,1371,628,3329,4789,3349,3644,3742,,1371,628,4215,3827,,,,,
,,,1741,2915,3503,4986,3017,4897,4648,,1741,2915,1014,670,,,,,
,,,2363,2812,4436,4436,4694,4456,3668,,2363,2812,2907,1481,,,,,
,,,3996,2448,4871,3955,4044,4971,4340,,8266,2448,3155,233,,,,,
,,,2489,2684,3597,3358,3373,3780,4458,,2489,2684,1598,673,,,,,
,,,1298,2265,3889,4471,3667,4426,4580,,1298,2265,126,3829,,,,,
