Leg Key,Origin Port Key,Destination Port Key,Leg Miles
0,2635,3154,1103.7424104302115
1,3154,1598,6772.03805963913
2,1598,1952,3565.461975835445
3,1952,1951,643.7473972409238
4,2597,3199,5252.596183578198
5,3199,1480,3541.753522210543
6,2743,3827,4368.935174892659
7,3827,669,7046.755292911921
8,669,670,903.0004520959122
9,670,671,335.8987924133049
10,1684,2795,173.66710417878508
11,2795,1414,2170.8354710985122
12,1414,3355,1046.3220990566888
13,3355,3834,4710.922839236631
14,3834,670,8519.659171979283
15,1260,3353,342.65221211084827
16,3353,2234,1382.257778709738
17,2234,2198,6037.292307832287
18,2198,3832,2258.8565822252376
19,3832,232,4663.261839421429
20,3355,3057,6119.088330087192
21,3057,1953,1102.4564380556094
22,2804,15,2109.5558480045047
23,15,1600,6177.749976303145
24,1600,3085,694.5743077931905
25,3085,669,1716.7802747084997
26,1684,1389,4453.972584286175
27,1389,1385,5201.8217801130995
28,1385,3826,2709.783097877556
29,2743,1261,1513.1178683662617
30,1261,1793,391.9971817191501
31,1793,2906,738.1979785366368
32,2906,232,5054.430953430816
33,62,2743,8336.712476628589
34,2743,668,4198.285319311076
35,668,1480,3218.9744073411584
36,1480,3833,8645.403644832124
37,3354,2248,5675.984627069453
38,2248,1598,5937.471931567039
39,1598,1480,3604.1064639612205
40,2368,3,2680.5513657197184
41,3,15,769.9269454768657
42,15,802,5094.399840812722
43,802,2198,2977.3095705628048
44,15,1713,1276.7118597246945
45,1713,390,2162.776714692735
46,390,998,3750.6149389828083
47,998,202,2612.8130697296638
48,202,232,4074.656854276416
49,891,34,451.03943921482846
50,34,2368,1232.0641234441423
51,2368,185,4622.105157106338
52,185,3827,2728.092204269919
53,3154,2493,2498.33676022469
54,2493,2815,2889.577437093149
55,2815,669,2344.23238280567
56,669,671,718.1510018641093
57,671,667,23.72834875392697
58,2142,1599,785.6198776857412
59,1599,522,10890.209483268172
60,522,3825,4285.114863049214
61,2840,1412,8263.107811367
62,1412,2857,8051.871414549772
63,2857,3826,5338.651041086125
64,3826,3831,2258.2536094652783
65,3831,2198,2712.010662032644
66,3057,1260,5878.572446416216
67,1260,2652,1210.8176656157143
68,2652,3833,5658.07403645903
69,3833,3829,2195.8001777606755
70,3829,2199,1302.3129847363057
71,3221,2535,6207.915669123484
72,2535,3825,8525.062328022552
73,1598,391,9940.764687866451
74,391,2551,3324.554435284041
75,2551,232,2406.4204500523606
76,62,2652,5821.647581298249
77,2652,2947,5814.157007944425
78,2947,3222,2025.158608070837
79,3222,1481,1255.068874688274
80,2743,3831,3720.8354534931045
81,3831,3826,2258.2536094652783
82,2493,1684,970.8144293545382
83,1684,668,4121.481701120702
84,668,522,11521.339304308964
85,522,232,1730.8302849783197
86,2384,2112,6770.736101296298
87,2112,232,5525.042055497063
88,196,3356,5013.899306469393
89,3356,1691,3059.1455062590057
90,1691,3056,4423.28246226212
91,3056,668,410.61367412268436
92,2385,3154,4879.927018247678
93,3154,2353,6821.969079100246
94,2353,3834,1408.183071439823
95,3834,232,4990.303993933175
96,998,2907,5562.257007023823
97,2907,1014,2369.8784408953575
98,1014,1480,2756.2497724312743
99,2368,1691,3185.84208276654
100,1691,185,6808.973755070823
101,185,2199,2338.8560103589666
102,4214,2839,6777.555218017519
103,2839,671,6570.9775085537185
104,1598,3084,2094.6779795378384
105,3084,3824,8606.21046149955
106,2493,3827,7782.574929449444
107,3827,3833,1553.953032546233
108,3833,672,6106.443006222949
109,2795,2367,3346.6922596674117
110,2367,802,5154.59909390228
