Leg Bridge Key,Leg Key
1,0
1,1
1,2
1,3
2,4
2,5
3,6
3,7
3,8
3,9
4,10
4,11
4,12
4,13
4,14
5,15
5,16
5,17
5,18
5,19
6,20
6,21
7,22
7,23
7,24
7,25
7,8
8,26
8,27
8,28
9,29
9,30
9,31
9,32
10,33
10,34
10,35
10,36
11,37
11,38
11,39
12,40
12,41
12,42
12,43
13,44
13,45
13,46
13,47
13,48
14,49
14,50
14,51
14,52
15,53
15,54
15,55
15,56
15,57
16,58
16,59
16,60
17,61
17,62
17,63
17,64
17,65
18,66
18,67
18,68
18,69
18,70
19,71
19,72
20,73
20,74
20,75
21,76
21,77
21,78
21,79
22,80
22,81
23,82
23,83
23,84
23,85
24,86
24,87
25,88
25,89
25,90
25,91
26,92
26,93
26,94
26,95
27,96
27,97
27,98
28,99
28,100
28,101
29,102
29,103
30,104
30,105
31,106
31,107
31,108
32,109
32,110
32,111
32,112
32,113
33,114
33,115
33,116
33,117
34,118
34,119
34,120
35,121
35,122
35,123
35,124
36,125
36,126
36,127
36,128
37,129
37,130
37,131
37,132
37,133
38,134
38,135
38,136
38,137
39,138
39,139
40,140
40,141
40,142
40,143
40,144
41,145
41,146
41,147
41,148
42,149
42,150
42,151
42,152
43,153
43,154
44,155
44,156
45,157
45,158
46,159
46,160
46,161
46,162
47,163
47,164
47,165
47,166
48,167
48,168
49,169
49,170
49,171
49,172
50,173
50,174
50,175
50,176
50,177
51,178
51,179
51,180
52,181
52,182
52,183
53,184
53,185
53,186
53,187
54,188
54,189
54,190
55,191
55,192
55,193
55,194
55,195
56,196
56,197
57,198
57,199
57,200
57,201
58,202
58,203
58,204
58,205
58,206
59,207
59,208
59,209
59,210
60,211
60,212
60,213
60,214
60,215
61,216
61,217
61,218
62,219
62,220
62,221
63,222
63,223
63,224
64,225
64,226
64,227
64,228
64,229
65,230
65,231
66,232
66,233
66,234
66,235
66,236
67,237
67,238
68,239
68,240
69,241
69,242
69,243
69,244
69,245
70,246
70,247
70,248
71,249
71,250
71,251
71,252
71,9
72,253
72,254
72,255
72,256
73,257
73,258
73,259
73,260
73,65
74,261
74,262
75,263
75,264
75,265
76,266
76,267
76,268
76,269
77,270
77,271
77,272
77,273
78,274
78,275
79,276
79,277
79,278
79,279
79,280
80,281
80,282
80,283
81,284
81,285
82,286
82,287
83,288
83,289
83,290
84,291
84,292
84,293
84,294
84,295
85,296
85,297
86,298
86,299
86,300
86,301
86,302
87,303
87,304
87,305
87,306
87,307
88,308
88,309
88,310
88,311
88,312
89,313
89,314
89,315
89,316
90,317
90,318
90,319
90,320
91,321
91,322
92,323
92,324
93,325
93,326
93,327
93,328
94,329
94,330
95,331
95,332
95,333
95,334
95,335
96,336
96,337
96,338
96,339
96,70
97,340
97,341
98,342
98,343
98,344
99,345
99,346
99,347
100,348
100,349
100,350
100,351
101,352
101,353
102,354
102,355
103,356
103,357
103,358
104,359
104,360
105,361
105,362
105,363
105,245
106,364
106,365
106,366
106,177
106,367
107,368
107,369
107,370
107,108
108,371
108,372
108,373
109,374
109,375
110,376
110,377
110,378
110,379
110,380
111,381
111,382
111,383
111,384
111,385
112,386
112,387
112,388
112,25
112,389
113,390
113,391
113,392
114,393
114,394
114,395
114,396
115,397
115,398
116,399
116,400
117,401
117,402
117,403
118,404
118,405
119,406
119,407
119,408
120,409
120,410
120,411
120,412
120,413
121,414
121,415
121,416
122,417
122,418
123,419
123,420
123,421
123,422
124,423
124,424
124,425
124,426
125,427
125,428
125,429
125,430
125,431
126,432
126,433
126,434
126,435
127,436
127,437
127,438
127,439
127,440
128,441
128,442
128,443
128,444
129,445
129,446
129,447
129,448
129,449
130,450
130,451
131,452
131,453
132,454
132,455
132,456
133,457
133,458
133,459
134,460
134,461
134,462
134,463
134,464
135,465
135,466
136,467
136,468
136,469
136,470
136,471
137,472
137,473
137,474
138,475
138,476
138,477
138,478
138,479
139,480
139,481
139,482
139,483
139,484
140,485
140,486
140,487
140,488
140,489
141,490
141,491
141,492
141,493
141,494
142,495
142,496
143,497
143,498
143,499
143,500
143,501
144,502
144,503
144,139
145,504
145,505
145,506
145,507
146,508
146,509
146,510
147,511
147,512
148,513
148,514
148,515
149,516
149,517
149,518
149,519
150,520
150,521
150,522
151,523
151,524
151,525
151,526
152,527
152,528
152,529
152,9
153,530
153,531
153,532
153,533
153,534
154,535
154,536
155,537
155,538
156,539
156,540
157,541
157,542
158,543
158,544
158,545
159,546
159,547
160,359
160,548
160,549
160,550
161,551
161,552
161,553
161,554
162,555
162,556
162,557
163,558
163,559
163,560
163,561
163,562
164,563
164,564
164,565
164,566
164,567
165,568
165,569
165,570
166,571
166,572
167,573
167,574
168,575
168,576
168,577
168,112
169,578
169,579
169,580
169,581
170,582
170,583
171,584
171,585
172,586
172,587
172,588
173,589
173,590
173,591
173,592
173,593
174,594
174,595
174,596
175,597
175,598
175,599
175,600
175,601
176,602
176,603
176,604
176,605
177,606
177,607
178,608
178,609
178,610
179,611
179,612
179,613
179,614
179,615
180,616
180,617
180,618
180,619
180,620
181,621
181,622
181,623
182,624
182,625
182,626
182,627
182,628
183,629
183,630
183,631
183,632
184,633
184,634
184,635
184,636
185,637
185,638
185,639
185,640
186,641
186,642
186,643
187,644
187,645
188,646
188,647
188,648
188,649
188,650
189,651
189,652
190,653
190,654
190,655
190,656
190,657
191,658
191,659
191,660
191,661
192,662
192,663
192,664
193,665
193,666
193,667
193,668
194,669
194,670
194,671
194,672
194,673
195,674
195,675
195,676
195,654
195,677
196,678
196,679
196,680
196,681
197,682
197,683
198,684
198,685
199,686
199,618
200,687
200,688
200,689
200,690
201,691
201,692
201,693
201,694
202,695
202,696
203,697
203,698
203,699
203,700
204,701
204,702
205,703
205,704
205,705
205,706
205,707
206,708
206,709
206,710
206,711
206,712
207,713
207,714
207,715
207,431
208,716
208,717
208,718
209,719
209,720
210,721
210,722
211,723
211,724
211,725
211,726
211,727
212,728
212,729
212,730
212,731
212,732
213,733
213,734
213,735
214,371
214,736
214,737
215,738
215,739
215,740
215,9
216,741
216,742
216,743
216,744
216,745
217,746
217,747
217,748
218,749
218,750
218,751
218,752
219,753
219,754
220,755
220,756
220,757
221,758
221,759
221,760
222,761
222,762
223,763
223,764
224,765
224,766
225,767
225,768
225,769
226,266
226,770
226,771
227,772
227,773
227,774
228,775
228,415
228,776
229,777
229,778
229,779
229,780
230,781
230,782
230,783
231,784
231,785
231,786
231,787
231,788
232,789
232,790
232,791
232,792
233,793
233,152
234,794
234,795
234,796
234,797
234,798
235,799
235,800
235,801
235,802
235,727
236,803
236,804
236,805
236,806
236,807
237,808
237,809
238,810
238,811
238,812
239,813
239,814
239,815
239,816
239,817
240,818
240,819
241,820
241,821
241,822
241,823
241,824
242,825
242,826
242,827
242,828
242,829
243,830
243,831
243,832
244,833
244,834
244,835
245,836
245,837
245,838
246,839
246,181
246,840
247,841
247,842
247,843
247,844
247,845
248,846
248,847
248,848
248,849
248,363
249,850
249,851
249,852
249,853
250,854
250,855
250,856
250,857
251,858
251,859
251,860
251,861
252,862
252,863
253,864
253,865
253,866
253,867
253,113
254,868
254,869
255,870
255,871
256,872
256,873
256,874
256,875
257,876
257,877
257,878
258,879
258,880
258,881
258,882
258,883
259,884
259,885
259,886
259,887
259,888
260,73
260,889
260,890
261,891
261,892
261,893
262,894
262,895
262,896
262,897
263,898
263,899
263,42
263,900
263,901
264,902
264,903
265,904
265,905
265,906
266,907
266,908
266,909
266,910
266,911
267,912
267,913
267,914
267,915
267,916
268,917
268,918
268,919
268,920
269,921
269,922
270,923
270,924
270,925
270,926
270,927
271,928
271,929
271,930
271,931
271,932
272,933
272,934
273,935
273,936
274,937
274,938
274,939
274,940
274,941
275,942
275,943
276,944
276,945
276,946
276,947
276,948
277,949
277,950
277,951
277,952
277,953
278,954
278,955
278,956
279,957
279,958
280,959
280,960
280,961
280,962
280,963
281,964
281,965
281,966
281,967
282,968
282,969
282,970
283,971
283,972
283,973
283,974
284,975
284,976
284,977
284,978
284,979
285,980
285,981
285,982
285,983
286,984
286,985
286,986
286,987
286,988
287,989
287,990
288,991
288,992
289,993
289,994
289,995
290,996
290,997
291,998
291,999
291,1000
292,1001
292,1002
292,1003
293,1004
293,1005
293,1006
293,1007
294,1008
294,1009
295,1010
295,1011
295,1012
296,1013
296,112
297,1014
297,1015
298,1016
298,1017
298,1018
298,1019
298,35
299,1020
299,1021
300,1022
300,1023
300,1024
300,1025
301,1026
301,1027
301,1028
301,1029
302,1030
302,1031
302,1032
303,1033
303,1034
303,1035
303,1036
303,1037
304,1038
304,1039
304,1040
304,1041
304,1042
305,181
305,1043
305,1044
305,1045
306,1046
306,1047
307,1048
307,1049
308,1050
308,1051
308,1052
308,1053
308,70
309,1054
309,1055
310,1056
310,1057
311,76
311,1058
311,1059
311,1060
311,1061
312,1062
312,1063
312,1064
312,1065
312,1066
313,1067
313,1068
314,1069
314,1070
314,1071
314,1072
315,1073
315,1074
315,1075
315,1076
316,1077
316,1078
317,1079
317,1080
317,1081
317,479
318,1082
318,1083
318,1084
319,1085
319,1086
319,1087
320,1088
320,1089
320,1090
320,1091
320,1092
321,1093
321,1029
322,1094
322,211
322,1095
322,1096
323,1097
323,1098
323,1099
323,1100
323,1101
324,1102
324,1103
324,1104
324,1105
325,1106
325,1094
325,1107
326,1108
326,1109
326,1110
326,1111
326,1112
327,1113
327,1114
327,675
327,1115
328,1116
328,1117
328,1118
329,1119
329,1120
330,1121
330,1122
330,1123
331,1124
331,1125
332,1126
332,1127
332,1128
333,1129
333,1130
333,1131
333,1132
334,1133
334,1134
334,1135
335,1136
335,1137
335,1138
335,1139
335,1140
336,1141
336,1142
336,1143
337,1144
337,1145
337,1146
338,1147
338,1148
339,1149
339,1150
340,1151
340,1152
340,1153
341,1154
341,1155
342,1156
342,1157
342,1158
342,1159
342,1160
343,1161
343,1162
343,1163
344,1164
344,1165
345,1166
345,1167
345,1168
346,1169
346,1170
347,1171
347,1172
347,1173
347,1174
347,1175
348,1176
348,1177
348,1178
348,1179
348,1180
349,1181
349,1182
349,1183
349,1184
349,1185
350,1186
350,1187
350,1188
351,1189
351,1190
351,700
352,1191
352,1192
352,1193
353,1194
353,120
353,1195
354,1196
354,1197
354,1198
354,1199
354,1200
355,1201
355,1202
355,1203
355,65
355,1204
356,1205
356,1206
356,1207
356,1208
357,1209
357,1210
357,1211
357,1212
357,1213
358,1214
358,1215
358,1216
359,1217
359,1218
359,1219
359,1220
359,1221
360,1222
360,1223
360,1224
361,1225
361,1226
361,1227
362,1228
362,1229
363,1230
363,1231
363,1232
364,1233
364,1234
364,1235
365,1236
365,1237
365,1238
365,1239
366,1240
366,1241
366,1242
366,1243
366,1244
367,1245
367,1246
367,1247
368,1248
368,1249
368,1250
368,1251
369,1252
369,1253
369,1254
370,1255
370,1256
370,1257
370,910
371,1258
371,1259
372,1260
372,1261
373,1262
373,1263
373,1264
373,1265
374,1266
374,1267
375,1268
375,1269
375,1270
375,1271
375,107
376,1272
376,1273
376,1274
376,1275
377,1276
377,1277
378,1278
378,1279
378,1280
378,1281
379,1282
379,1283
379,1284
380,1285
380,1286
380,1287
380,1288
381,1289
381,1290
381,1291
382,1292
382,1293
383,1294
383,1295
383,1296
383,1297
384,1298
384,1299
384,1300
384,1301
384,1302
385,1303
385,1304
385,1305
385,1306
386,1307
386,1308
386,1309
386,1310
387,1311
387,1312
387,1313
388,1314
388,1315
388,1316
389,1317
389,1318
390,1319
390,1320
390,1321
391,1322
391,1323
391,1324
392,1325
392,1326
392,1327
393,1328
393,1329
393,1330
394,1331
394,1332
394,1333
394,1334
394,1036
395,1335
395,1336
396,1337
396,1338
396,1339
397,1340
397,1341
398,1342
398,1343
398,1344
398,1345
398,1346
399,1347
399,1348
399,1349
400,1350
400,1351
400,1352
400,1353
400,1354
401,1355
401,1356
402,1357
402,1358
402,1359
403,1360
403,1361
403,1362
403,1363
404,1364
404,1365
404,1366
405,1367
405,1368
405,1369
405,1370
405,640
406,1371
406,1372
406,1373
406,1374
406,1375
407,1376
407,1377
407,1378
407,1379
408,1380
408,1381
408,1382
408,1383
408,1384
409,1385
409,1386
409,1387
409,1388
410,1389
410,1390
410,762
410,1391
411,1392
411,1393
411,1394
411,1395
412,1396
412,1397
412,1398
412,119
413,1399
413,1400
413,1401
413,1402
414,1403
414,1404
414,1405
414,1406
414,1407
415,1408
415,1409
415,1410
415,1411
416,1412
416,1413
417,1414
417,1415
417,1416
418,1417
418,1418
419,1419
419,1420
419,1421
419,732
419,1422
420,1423
420,1424
420,1425
421,1426
421,1427
421,304
421,1428
421,1429
422,1430
422,1431
422,1432
422,1433
423,1434
423,1435
423,1436
423,1437
423,1438
424,1439
424,1440
424,1441
425,1442
425,1443
425,1444
425,1445
425,1446
426,1447
426,959
426,1448
426,1449
426,389
427,1450
427,1451
427,1452
428,1453
428,1454
428,1455
428,1456
429,1457
429,1458
429,1459
429,1460
430,1461
430,1462
430,1463
430,1464
431,1465
431,1466
431,1467
431,1468
431,533
432,1469
432,1352
432,1470
432,574
432,1471
433,1472
433,1473
433,1474
434,1475
434,1476
434,1477
434,1478
435,1479
435,1480
435,1481
436,1482
436,1483
436,1484
436,413
436,1485
437,1486
437,1487
437,1488
437,1489
438,1490
438,273
439,1491
439,1492
439,1493
439,1494
439,1495
440,1496
440,1497
440,1498
440,1499
441,1500
441,1501
442,1502
442,1503
442,1504
442,1301
443,1505
443,1506
443,1507
443,1508
443,1509
444,1510
444,549
444,1511
444,1512
445,1513
445,1514
446,1515
446,1516
446,1517
446,1518
446,1519
447,1520
447,1521
447,1522
447,1523
448,1524
448,1525
448,1526
448,1527
449,1528
449,1529
450,1530
450,1531
450,1532
450,1533
451,1534
451,1535
452,1536
452,1537
452,1538
452,1539
453,1540
453,1541
453,1542
454,1543
454,1544
454,1545
454,1546
455,1547
455,1548
455,1549
456,1550
456,1551
457,1552
457,1553
457,1554
457,1555
458,1556
458,1557
458,1558
458,1559
459,1560
459,1561
459,1562
459,1563
459,1564
460,1565
460,1566
460,1567
460,1568
461,1569
461,1570
461,1571
461,1572
462,1573
462,914
462,1574
462,1575
462,1576
463,1577
463,1578
463,1579
464,1580
464,1581
464,1582
464,1583
465,1584
465,1585
465,1586
465,1587
465,1588
466,1589
466,1590
466,1591
466,1592
466,1593
467,1594
467,1595
467,1596
467,1597
468,1598
468,1599
468,1600
468,1601
468,1602
469,530
469,1603
469,1604
469,1605
469,1606
470,1607
470,1608
470,1609
471,1610
471,1611
471,1612
471,1613
472,1614
472,1615
472,1616
472,1617
472,1618
473,1619
473,1620
473,1621
474,1622
474,1623
474,1624
474,726
475,1625
475,1626
476,1627
476,1628
476,3
477,1629
477,1630
478,1631
478,1632
478,1633
478,1634
478,1635
479,1636
479,1637
479,1638
480,1639
480,1640
480,1641
480,1642
481,1643
481,1644
481,1645
481,1646
482,1647
482,1648
483,1649
483,1650
484,1651
484,1652
484,1653
484,1654
484,1655
485,1656
485,803
485,1657
485,1658
486,1659
486,1660
486,1661
486,1662
487,1663
487,1664
488,1665
488,1666
489,1667
489,1668
490,1669
490,1670
490,1671
490,1672
491,1673
491,1674
491,1675
492,1676
492,1677
492,1678
492,1679
492,1680
493,1681
493,1108
493,1682
493,1683
493,1684
494,1685
494,1686
494,1687
494,1688
495,1689
495,1690
495,1691
495,1692
496,1693
496,1694
496,1695
497,1696
497,1697
497,1698
497,1699
498,1700
498,1701
498,1702
498,1518
499,1703
499,1704
499,1705
499,1706
499,1707
500,1708
500,1709
500,1710
501,1711
501,1712
501,1713
501,1714
502,1715
502,1716
503,1717
503,1718
503,1719
503,948
503,1720
504,1721
504,1722
505,1723
505,1724
505,1725
505,1726
505,1195
506,1727
506,1728
506,1729
507,1730
507,1731
507,1732
507,1733
507,396
508,1734
508,1735
508,1736
508,1737
509,1738
509,1739
509,1740
509,1741
510,1742
510,1743
511,1744
511,1745
511,1746
512,1747
512,1748
512,1749
513,1750
513,1751
513,1752
513,1753
514,1754
514,1755
515,1756
515,1757
515,1758
515,726
516,1759
516,1760
516,1761
516,1762
517,1763
517,1764
518,1765
518,1766
518,1767
519,1768
519,1769
519,1770
519,1771
520,1772
520,1773
520,1774
521,1775
521,1776
521,1777
521,1778
522,1779
522,1780
522,1781
522,1782
522,1783
523,1784
523,1785
523,1786
523,1787
523,1788
524,1789
524,1790
525,1791
525,1781
525,1792
525,1793
525,1794
526,1164
526,1795
526,1796
526,1797
527,1798
527,1799
527,1800
527,1801
528,1802
528,1803
528,1804
529,1805
529,1806
529,1807
529,1684
530,1808
530,1809
531,1810
531,1811
532,1812
532,1813
532,1814
532,1815
532,1816
533,1817
533,548
533,1818
533,1819
533,57
534,1820
534,1821
534,1822
535,1823
535,1824
536,419
536,1825
536,1826
537,1827
537,1828
537,1829
537,1830
538,51
538,1831
538,1832
538,1833
539,1834
539,1835
540,1836
540,1837
540,1838
540,1839
541,1840
541,1841
542,1842
542,1843
542,1844
542,1845
543,1846
543,1847
543,1848
544,1849
544,1850
544,1851
544,694
544,1852
545,1853
545,1854
545,1855
545,1856
546,1857
546,1858
547,1859
547,1860
547,1861
548,1862
548,1863
549,1864
549,1865
549,1866
550,1867
550,1868
550,1869
550,295
551,1870
551,1268
551,1871
551,1872
551,1873
552,1874
552,1875
552,1876
553,1877
553,1878
553,1879
553,1880
553,1881
554,1882
554,1883
554,1884
555,129
555,1885
555,1886
555,1887
556,1888
556,1889
557,1890
557,1891
557,1892
557,1893
558,1894
558,1895
558,1896
559,1897
559,1898
559,1899
559,1900
559,774
560,1901
560,1902
561,1903
561,1904
561,1905
561,1906
562,1907
562,1908
562,1909
562,1910
562,1911
563,1912
563,1913
563,1914
563,1915
563,1916
564,1917
564,1918
565,1919
565,1920
565,214
565,1921
566,1922
566,1923
567,1924
567,1925
568,1926
568,1766
568,1927
568,1928
568,1929
569,1930
569,1931
570,1932
570,1933
571,1934
571,829
572,1935
572,1936
573,1937
573,1938
573,1939
573,1485
574,1940
574,1941
574,1942
575,1943
575,1944
575,1945
576,1946
576,1947
577,1948
577,1949
578,1950
578,1951
578,1952
578,1953
578,1954
579,1955
579,1956
579,1485
580,1957
580,1958
580,1959
580,1960
580,1961
581,1962
581,1963
581,1964
581,1965
581,1339
582,1966
582,1967
582,1968
582,1969
582,1970
583,1971
583,1972
584,1973
584,1974
585,1975
585,1976
586,1977
586,1978
586,1979
587,1980
587,1981
588,1982
588,1908
588,1983
588,500
589,1984
589,1985
589,1986
589,1987
590,1988
590,1989
590,1990
590,177
591,1991
591,1992
592,1993
592,1994
592,1995
593,1996
593,1997
593,1998
593,1999
593,2000
594,2001
594,2002
594,2003
594,2004
595,2005
595,2006
595,2007
596,2008
596,2009
596,2010
597,2011
597,2012
597,2013
597,2014
597,2015
598,2016
598,2017
599,2018
599,2019
599,2020
599,2021
600,2022
600,2023
600,2024
600,2025
600,2026
601,2027
601,2028
601,2029
602,2030
602,2031
602,2032
603,2033
603,2034
603,2035
604,2036
604,2037
605,2038
605,2039
605,2040
606,2041
606,2042
606,2043
606,2044
607,2045
607,2046
607,2047
607,2048
607,643
608,2049
608,2050
609,2051
609,2052
609,2053
609,2054
610,2055
610,2056
610,2057
610,1911
611,2058
611,2059
611,2060
612,2061
612,2062
613,2063
613,2064
613,2065
613,2066
614,2067
614,2068
615,2069
615,2070
616,2071
616,2072
616,65
616,2073
617,2074
617,2075
618,2076
618,2077
618,2078
619,2079
619,2080
619,2081
620,2082
620,2083
620,2084
621,2085
621,2086
621,2087
621,2088
621,2089
622,2090
622,2091
622,2092
622,581
623,2093
623,1236
623,2094
624,2095
624,2096
624,2097
625,2098
625,2099
626,2100
626,2101
626,2102
626,2103
627,2104
627,2105
627,2106
628,2107
628,2108
628,2109
628,2110
628,2111
629,2112
629,2113
629,1200
629,2114
630,2115
630,2116
630,2117
630,2118
630,2119
631,2120
631,2121
631,2122
631,2123
631,1852
632,2124
632,2125
632,2126
632,2127
632,206
633,2128
633,2129
633,2130
633,2131
634,2132
634,2133
634,2134
634,1407
635,2135
635,2136
635,2137
635,999
635,2138
636,2139
636,2140
636,2141
636,2142
637,2143
637,2144
637,2145
638,2146
638,2147
638,2148
639,2149
639,2150
639,2151
640,2152
640,2153
641,2154
641,2155
641,2156
642,2157
642,2158
642,2159
642,2160
643,2161
643,2162
643,656
644,2163
644,2164
644,2165
644,567
645,2166
645,2167
645,2168
645,2169
646,2170
646,2171
646,2172
646,2173
646,2174
647,2175
647,2176
647,2177
647,2178
648,2179
648,2180
648,2181
648,392
648,2182
649,2183
649,2184
650,2185
650,2186
650,2187
650,2188
650,2189
651,2190
651,2191
651,2192
652,2193
652,2194
653,2195
653,2196
654,2197
654,2198
655,2199
655,2200
655,2201
655,2202
655,2203
656,2204
656,2205
656,2206
656,2207
657,2208
657,2209
658,2210
658,2211
658,2212
658,2213
659,2214
659,2215
659,2216
659,2217
660,2218
660,2219
660,2220
661,2221
661,1268
661,2222
661,2223
661,2224
662,2225
662,2226
662,2227
662,2228
662,2229
663,2230
663,2231
663,2232
663,2233
664,2234
664,2235
665,2236
665,2237
665,2238
666,2239
666,2240
666,2241
667,2242
667,2243
667,2244
667,2245
667,2246
668,2247
668,2248
669,2249
669,2250
669,2251
669,2252
670,2253
670,2254
670,2255
670,2256
671,2257
671,2258
671,2259
671,2260
672,2261
672,2262
672,2263
672,2264
673,2247
673,2265
673,2266
673,2267
674,2268
674,2269
674,430
675,2270
675,2271
675,2229
675,2272
675,2273
676,2274
676,2275
677,2276
677,2277
678,2278
678,2279
678,2280
679,2281
679,2282
679,2283
680,2284
680,2137
680,2285
680,2286
681,2287
681,2288
681,2289
681,2290
682,2291
682,2292
682,2293
682,2294
683,2295
683,2296
683,2297
683,474
684,2298
684,2138
684,2299
685,1137
685,2300
685,2301
685,951
686,2302
686,2303
687,2304
687,2305
687,2306
687,2307
688,2308
688,2309
688,2310
688,2311
688,2312
689,2313
689,2314
689,2315
690,2316
690,2317
690,2318
691,2319
691,2320
691,2321
692,2322
692,2323
693,2324
693,2325
693,2326
693,2327
693,2328
694,2329
694,2330
694,2331
694,2332
694,248
695,2333
695,2334
695,2335
695,2336
696,2337
696,2338
696,2339
696,2340
696,2341
697,2342
697,2343
697,2344
698,2345
698,2346
698,2347
698,901
698,2348
699,638
699,2349
699,2350
700,2351
700,2352
701,2353
701,2354
701,2355
702,2356
