Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs,distance between ports
1,04291176624114558,,2363,117,3004,3126,3738,4401,4164,sea,2363,117,1766,1483,,,,,,
2,04513455537397982,,2219,2888,3318,3318,4708,3993,4304,sea,2219,2888,4270,235,,,,,,
3,04293415186286371,,4424,3342,4767,3386,3349,4717,3418,sea,8694,7612,2494,3676,,,,,,
4,04751742634374953,,2363,3814,3342,4645,4660,3303,4566,sea,2363,8084,2496,1458,,,,,,
5,04652854453653147,,2363,2266,3457,3693,3764,4752,3159,sea,2363,2266,2739,1518,,,,,,
6,04922119142372249,,1219,720,4546,4773,4591,4426,3349,sea,1219,720,2557,3999,,,,,,
7,04621339997737756,,2016,986,4281,3797,4044,4558,3766,sea,2016,986,1390,661,,,,,,
8,04719272349159223,,4285,2514,4422,4058,3201,3618,4981,sea,8555,2514,2717,2210,,,,,,
9,04441831557377854,,2270,2334,3513,4982,3845,4279,3124,sea,2270,2334,2149,788,,,,,,
10,04224864234424966,,2363,1132,3992,4418,4057,4094,4143,sea,2363,1132,11,1505,,,,,,
11,04244212994894781,,2363,2448,4797,3955,4806,3665,4003,sea,2363,2448,3132,1478,,,,,,
12,04666234368448756,,450,2542,3745,4318,4293,4919,3923,sea,450,2542,1265,2209,,,,,,
13,04612259376196337,,445,1418,3634,4546,3103,4730,4684,sea,445,1418,2561,702,,,,,,
14,04629514441681782,,792,3035,4304,4183,3035,4715,4448,sea,792,7305,3053,578,,,,,,
15,04642678182172761,,1284,2523,3714,3627,4796,3601,3321,sea,1284,2523,30,636,,,,,,
16,04169299328188525,,3856,2478,3272,3272,4776,3644,4962,sea,8126,2478,2368,3916,,,,,,
17,04644781763393580,,2363,2644,4218,3725,4218,3289,4373,sea,2363,2644,2258,1508,,,,,,
18,04997955364834486,,1772,4226,3523,4026,4501,3133,3667,sea,1772,8496,2630,1946,,,,,,
19,04562329285355524,,4741,3263,3263,3263,4759,4676,4323,sea,9011,7533,2815,756,,,,,,
