Commodity Key,HS Code,Description,Package Size (m^3),Package Weight (kg),Densities (kg/m^3)
1,290941,Nam nulla.,2.663,796.45,299.080
2,010632,Integer a nibh.,1.340,167.00,124.630
3,730661,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",4.202,4375.65,1041.325
4,830621,Ut at dolor quis odio consequat varius.,3.565,4158.86,1166.582
5,620930,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",3.312,1312.49,396.283
6,551221,Pellentesque eget nunc.,1.668,94.86,56.870
7,381210,Cras non velit nec nisi vulputate nonummy.,2.967,3160.00,1065.050
8,250100,Nunc rhoncus dui vel sem.,0.720,795.53,1104.905
9,400700,Pellentesque at nulla.,3.063,4239.87,1384.222
10,600590,In quis justo.,1.118,630.52,563.967
11,600240,Integer ac neque.,1.828,2348.20,1284.574
12,842010,Cras pellentesque volutpat dui.,3.995,4897.60,1225.933
13,901480,Integer tincidunt ante vel ipsum.,0.548,617.95,1127.653
14,551613,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1.161,831.26,715.988
15,390750,Curabitur convallis.,0.757,643.60,850.192
16,310390,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2.676,822.33,307.298
17,151000,Praesent blandit.,3.428,3454.11,1007.616
18,500720,Nulla justo.,3.255,4364.13,1340.746
19,160210,Morbi quis tortor id nulla ultrices aliquet.,2.322,2417.12,1040.963
20,040310,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1.152,315.66,274.014
21,270740,Maecenas ut massa quis augue luctus tincidunt.,1.874,2415.28,1288.835
22,260200,Sed vel enim sit amet nunc viverra dapibus.,1.288,1393.17,1081.653
23,550190,Nunc nisl.,0.645,636.90,987.445
24,284180,In sagittis dui vel nisl.,1.025,423.39,413.066
25,370191,Morbi vel lectus in quam fringilla rhoncus.,0.375,36.15,96.393
26,721190,Praesent blandit lacinia erat.,2.824,1500.93,531.492
27,910890,Vivamus vel nulla eget eros elementum pellentesque.,0.858,287.52,335.109
28,600110,In hac habitasse platea dictumst.,1.330,1331.87,1001.408
29,820140,Nam nulla.,1.779,842.77,473.733
30,300190,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3.913,4400.42,1124.564
31,630622,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.357,2137.90,907.044
32,940560,Mauris ullamcorper purus sit amet nulla.,1.385,1607.50,1160.647
33,920510,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.832,908.81,496.074
34,730611,Etiam faucibus cursus urna.,1.881,916.21,487.084
35,790390,Etiam vel augue.,6.575,8135.12,1237.280
