Port Key,Address Key,Port Name,Port Type,Port Size,UN/LOCODE,Phone,Fax,800 Number,Email,Web Site
1,3001,Durres,Seaport,Small,ALDRZ,355 52 23115,355 52 22028,,apd@san.com.al,
2,3002,Sarande,"Pier, Jetty or Wharf",Small,,355 85 25827,355 85 25827,,,
3,3003,Shengjin,Harbor,Small,,,,,,
4,3004,Valona,,,,,,,,
5,3005,Vlore,Seaport,Small,,,,,porti-vlore@aul.com.al,
6,3006,Alger,Deepwater Seaport,Large,,213 21 423614,213 21 423603,,epal@portalger.com.dz,www.portalger.com.dz
7,3007,Algeria,,,,,,,,
8,3008,Annaba,Seaport,Medium,,213 38 86 3143,213 38 86 54 15,,epan@annaba-port.com,www.annaba-port.com
9,3009,Arzew,Seaport,Small,,213 41 477127,213 41 477985,,,
10,3010,Arzew El-Djedid,,,,,,,,
11,3011,Bejaia,Deepwater Seaport,Large,,213 34 21 18 07,213 34 20 14 88,,portbj@portdebejaia.dz,www.portdebejaia.com.dz
12,3012,Benisaf,,,,,,,,
13,3013,Beni Saf,Harbor,Small,,213 43 225468,,,,
14,3014,Cherchell,Harbor,Small,,,,,,
15,3015,Collo,Harbor,Small,,,,,,
16,3016,Dellys,Harbor,Small,,213 21 429377,,,,
17,3017,Djen-Djen,Seaport,Small,,213 034 44 65 64,213 034 44 52 60,,epjdjendjen@wissal.dz,www.djendjen-port.com.dz
18,3018,Ghazaouet,Seaport,Small,,213 43 323345,213 43 326255,,,
19,3019,Jijel,Harbor,Small,,213 34 965334,,,,
20,3020,Mestghanem,,,,,,,,
21,3021,Mostaganem,Harbor,Small,DZMOS,213 45 215938,213 45 217805,,,
22,3022,Oran,Seaport,Medium,DZORN,213 41 332441,213 41 332498,,,
23,3023,Port Methanier,,,,,,,,
24,3024,Skikda,Seaport,Medium,,213 38 756827,213 38 752015,,info@skikda-port.com,www.skikda-port.com
25,3025,Tenes,Harbor,Small,,213 27 767276,213 27 766589,,asiporttenes@yahoo.fr,
26,3026,Pago Pago,Seaport,Medium,ASPPG,684 633-4251,684 633-5281,,,americansamoa.gov
27,3027,Ambriz,"Pier, Jetty or Wharf",Very Small,,,,,,
28,3028,Cabinda,"Pier, Jetty or Wharf",Very Small,AOCAB,244 231 222464,244 231 222464,,,
29,3029,Essungo Marine Terminal,,,,,,,,
30,3030,Futila Terminal,,,,,,,,
31,3031,Girassol Terminal,,,,,,,,
32,3032,Kiabo Marine Terminal,,,,,,,,
33,3033,Kiame Marine Terminal,,,,,,,,
34,3034,Lobito,Deepwater Seaport,Medium,AOLOB,244 722 23439,244 272 222719,,,
35,3035,Lombo Marine Terminal,,,,,,,,
36,3036,Luanda,Deepwater Seaport,Medium,AOLAD,+244 2 335975,,,portoluanda@snet.co.ao,www.otal.com/angola
37,3037,Malongo Terminal,"Pier, Jetty or Wharf",Very Small,,+244 2 391141,+244 2 391391,,amrmr@chevron.com,www.otal.com/angola
38,3038,Mocamedes,Harbor,Small,,244 222 390034,244 217 653435,,,www.otal.com/angola
39,3039,Palanca Terminal,,,,,,,,
40,3040,Porto Amboim,Harbor,Small,,,,,,
41,3041,Soyo,Harbor,Small,AOSZA,+244 2 390148,+244 2 391031,,,www.otal.com/angola
42,3042,Sumbe,,,,,,,,
43,3043,Takula Terminal,,,,,,,,
44,3044,St. Johns,,,,,,,,
45,3045,Arroyo Seco,,,,,,,,
46,3046,Atucha,,,,,,,,
47,3047,Bahia Blanca,River Port,Small,ARBHI,,,,,www.puertobahiablanca.com
48,3048,Buenos Aires,Deepwater Seaport,Large,ARBUE,(54) 11 4342-1727,,,institucionales@puertobuenosaires.gov.ar,www.puertobuenosaires.gov.ar
49,3049,Caleta Paula,,,,,,,,
50,3050,Campana,River Port,Small,ARCMP,(0054-3489)422890,,,,www.consejoportuario.com.ar
51,3051,Comodoro Rivadacomod,,,,,,,,
52,3052,Concepcion,,,,,,,,
53,3053,Deseado,Seaport,Medium,,54 0297-4872234,54 0297-487091466,,pdeseado@pdeseado.com.ar,www.scruz.gov.ar/puertos
54,3054,Diamante,River Port,Small,,,,,,
55,3055,Ensenada,,,MXESE,,,,,
56,3056,Ibicuy,River Port,Very Small,,03446 498407,,,,www.consejoportuario.com.ar/puertos.aspx?id=38
57,3057,La Plata,River Port,Medium,ARLPG,54 221 460 0203,,,Info@laplataport.com.ar,www.laplataport.com.ar
58,3058,Mar del Plata,Harbor,Small,ARMDQ,0223 4893099,,,consorcioportuariomdp@speedy.com.ar,www.consejoportuario.com.ar
59,3059,Puerto Deseado,,,ARPUD,,,,,
60,3060,Puerto Madryn,,,ARPMY,,,,,
61,3061,Puerto Martins,,,,,,,,
62,3062,Puerto Parana,,,,,,,,
63,3063,Punta Colorada,,,,,,,,
64,3064,Punta Loyola,,,,,,,,
65,3065,Quequen,,,,,,,,
66,3066,Ramallo,River Port,Small,,,,,,
67,3067,Rio Cullen Marine Terminal,,,,,,,,
68,3068,Rio Gallegos,"Pier, Jetty or Wharf",Very Small,ARRGL,02966 422352,02966 429013,,uneposc@ar.inter.net,www.scruz.gov.ar/puertos
69,3069,Rio Grande,Harbor,Medium,BRRIG,,,,,
70,3070,Rosario,River Port,Small,ARROS,(0341) 4487105,(0341) 4485010,,,
71,3071,San Antonio Este,,,ARSAE,,,,,
72,3072,San Julian,"Pier, Jetty or Wharf",Very Small,,02962 452612,02962 452069,,puertopsj@videodata.com.ar,www.scruz.gov.ar/puertos
73,3073,San Lorenzo,River Port,Small,HNSLO,,,,,
74,3074,San Nicolas,,,PESNX,,,,,
75,3075,San Sebastian Bay,,,,,,,,
76,3076,Santa Cruz,,,BOSRZ,,,,,
77,3077,Santa Fe,,,ARSFN,,,,,
78,3078,Ushuaia,Harbor,Small,ARUSH,54 2901 435200,,,info@puertoushuaia.gov.ar,www.puertoushuaia.gov.ar
79,3079,Villa Constitucvilla,,,,,,,,
80,3080,Zarate,River Port,Small,ARZAE,03487 429000,,,,www.consejoportuario.com.ar
81,3081,Barcadera,,,,,,,,
82,3082,Oranjestad,Deepwater Seaport,Medium,AWORJ,(297) 582-6633,(297) 583-2896,,,www.arubaports.com
83,3083,San Nicolas,Harbor,Medium,PESNX,+297 589 4500,+297 589 8000,,,www.rocargo.com/SanNicolas.html
84,3084,Abbot Point,"Pier, Jetty or Wharf",Very Small,AUABP,,,,info@pcq.com.au,www.pcq.com.au
85,3085,Adelaide,Seaport,Medium,AUADL,61 8 8447 0611,61 8 8447 0606,800 060 450,flindersports@flindersports.com.au,www.flindersports.com.au
86,3086,Airlie Island,,,,,,,,
87,3087,Albany,Deepwater Seaport,Small,,61 8 9892 9000,61 8 9841 7566,,apa@albanyport.com.au,www.albanyport.com.au
88,3088,Ardrossan,"Pier, Jetty or Wharf",Very Small,AUARD,08 8837 3306,08 8837 3639,,,abb.com.au
89,3089,Ballast Head,"Pier, Jetty or Wharf",Very Small,,61 8 8348 1400,61 8 8348 1423,,,
90,3090,Barrow Island,,,,,,,,
91,3091,Bell Bay,Seaport,Small,AUBEL,61 3 6382 0111,61 3 6382 1695,,bellbay@tasports.com.au,www.tasports.com.au
92,3092,Bing Bong,,,,,,,,
93,3093,Botany Bay,Seaport,Medium,,61 2 9296 4999,61 2 9296 4742,,,www.sydneyports.com.au
94,3094,Brisbane,,,AUBNE,,,,,
95,3095,Broome,"Pier, Jetty or Wharf",Very Small,,61 8 9192 1304,61 8 9192 1778,,info@broomeport.com,www.broomeport.com
96,3096,Bunbury,Seaport,Small,,+618 (08) 9721 2800,+618 (08) 9721 8253,,byport@byport.com.au,www.byport.com.au
97,3097,Bundaberg,Seaport,Small,,61 7 4159 4233,61 7 4159 4655,,info@bpa.net.au,
98,3098,Burnie,Seaport,Large,AUBWT,61 7 3258 4888,61 7 3258 4703,,info@portbris.com.au,www.portbris.com.au
99,3099,Cairns,Seaport,Small,AUCNS,+61 7 40523888,+61 7 40521493,,marketing@cairnsport.com.au,www.cairnsport.com.au
100,3100,Cape Cuvier,,,,,,,,
101,3101,Cape Flattery,"Pier, Jetty or Wharf",Very Small,,,,,info@pcq.com.au,www.pcq.com.au
102,3102,Cape Jervis,,,,,,,,
103,3103,Carnarvon,,,,,,,,
104,3104,Challis Venture Terminal,,,,,,,,
105,3105,Cossack Pioneer Terminal,,,,,,,,
106,3106,Dampier,"Pier, Jetty or Wharf",Very Small,,8 9159 6555,8 9159 6557,,info@dpa.wa.gov.au,www.dpa.wa.gov.au
107,3107,Darwin,,,AUDRW,,,,,
108,3108,Darwin (Nt),,,,,,,,
109,3109,Devonport,Harbor,Small,AUDPO,61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au
110,3110,Eden,Off-Shore Terminal,Small,,61 2 6496 1719,61 2 6496 3024,,edenpilot@maritime.nsw.gov.au,www.eden.nsw.gov.au
111,3111,Esperance,Seaport,Small,,(08) 9071 2111,(08) 9071 1312,,esppa@esperanceport.com.au,www.esperanceport.com.au
112,3112,Exmouth,,,,,,,,
113,3113,Fremantle,Seaport,Medium,AUFRE,61 (08) 9430 3555,61 (08) 9336 1391,,mail@fremantleports.com.au,www.fremantleports.com.au
114,3114,Geelong,Seaport,Medium,,03 52470206,03 52470203,,l.ward@patrick.com.au,www.geelongport.com.au
115,3115,Gladstone,Seaport,Medium,AUGLT,+61 7 4976 1333,+61 7 4972 3045,,info@gpa.org.au,www.cqpa.com.au
116,3116,Gove,,,AUGOV,,,,,
117,3117,Griffin Venture Terminal,,,,,,,,
118,3118,Groote Eylandt,Seaport,Small,,61 8 99 640 520,61 8 99 640 555,,mail@gpa.wa.gov.au,www.gpa.wa.gov.au
119,3119,Hastings,,,,,,,,
120,3120,Hay Point,,,AUHPT,,,,,
121,3121,Hobart,Harbor,Small,AUHBA,+61 3 6235 1000,+61 3 6231 0693,,hobart@tasports.com.au,www.tasports.com.au
122,3122,Jabiru Marine Terminal,,,,,,,,
123,3123,Karumba,River Port,Small,,+ 61 7 3224 7088,+ 61 7 3224 7234,,info@pcq.com.au,www.pcq.com.au
124,3124,Kingscote,,,,,,,,
125,3125,Kingston,,,JMKIN,,,,,
126,3126,Klein Point,"Pier, Jetty or Wharf",Very Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
127,3127,Kwinana,,,,,,,,
128,3128,Launceston,,,AULST,,,,,
129,3129,Longreach Tasmanian,,,,,,,,
130,3130,Lucinda,"Pier, Jetty or Wharf",Very Small,,,,,info@pcq.com.au,www.pcq.com.au
131,3131,Mackay,Harbor,Small,,61 7 4955 8155,61 7 4955 2868,,mpa@mackayports.com,www.mackayports.com
132,3132,Maryborough,,,,,,,,
133,3133,Melbourne,Deepwater Seaport,Very Large,AUMEL,+61 3 9628 7555,+61 3 9628 7550,,information@portofmelbourne.com,www.portofmelbourne.com
134,3134,Milner Bay,"Pier, Jetty or Wharf",Small,,61 08 8987 4444,61 08 8987 4499,,info@gemco.com.au,www.gemco.com.au
135,3135,Mourilyan,Harbor,Very Small,,,,,info@pcq.com.au,www.pcq.com.au
136,3136,Newcastle,Seaport,Medium,AUNTL,02 - 4985 8222,,1800 048 205,mail@newportcorp.com,www.newportcorp.com.au
137,3137,Penneshaw,,,,,,,,
138,3138,Perth,,,,,,,,
