Container Key,Owner Code,Serial Number,Check Digit,ISO Size Code,ISO Type Code
1,HLXU,131073,8,22,G0
2,HLXU,131089,3,22,G0
3,HLBU,131092,0,45,G0
4,HLXU,131098,0,22,G1
5,HLXU,131110,1,22,G0
6,HLXU,360488,1,22,U1
7,HLXU,360502,3,22,U1
8,HLXU,360509,1,22,U1
9,HLXU,360518,9,22,U1
10,HLXU,360567,7,22,U1
11,HLXU,360570,1,22,U1
12,HLBU,131198,10,45,G0
13,HLXU,131216,0,22,G0
14,HLXU,131221,6,22,G1
15,HLBU,131224,5,45,G0
16,HLXU,360606,1,22,U1
17,HLXU,131243,2,22,G1
18,HLXU,131244,8,22,G0
19,HLBU,131256,4,45,G0
20,HLXU,360640,10,22,U1
21,HLXU,360660,5,22,U1
22,HLBU,131288,3,45,G0
23,HLBU,131321,5,45,G0
24,HLXU,360700,5,22,U1
25,HLXU,360703,1,22,U1
26,HLXU,360714,10,22,U1
27,HLXU,360716,0,22,U1
28,HLXU,131341,8,22,G1
29,HLXU,360717,6,22,U1
30,HLXU,131345,10,22,G0
31,HLXU,360725,8,22,U1
32,HLXU,360730,3,22,U1
33,HLXU,131360,8,22,G0
34,HLXU,131369,7,22,G1
35,HLBU,131373,10,45,G0
36,HLXU,131402,9,22,G1
37,HLXU,131412,1,22,G0
38,HLXU,360808,5,22,U1
39,HLXU,131462,5,22,G0
40,HLXU,360839,9,22,U1
41,HLXU,131508,8,22,G0
42,HLXU,131512,8,22,G1
43,HLXU,360900,8,22,U1
44,HLXU,360907,6,22,U1
45,HLBU,131535,2,45,G0
46,HLXU,360912,1,22,U1
47,HLBU,131552,1,45,G0
48,HLXU,360931,1,22,U1
49,HLXU,131570,3,22,G1
50,HLXU,131577,1,22,G0
51,HLXU,131579,2,22,G0
52,HLXU,360956,4,22,U1
53,HLXU,360982,0,22,U1
54,HLXU,131622,7,22,G0
55,HLXU,655923,5,45,G0
56,HLXU,131635,6,22,G1
57,HLBU,131648,8,45,G0
58,HLXU,131649,0,22,G1
59,HLXU,655938,5,45,G0
60,HLXU,361056,5,22,U1
61,HLXU,131694,7,22,G0
62,HLXU,655984,7,45,G0
63,HLBU,131705,7,45,G0
64,HLXU,361097,1,22,U1
65,HLXU,361109,4,22,U1
66,HLXU,361115,5,22,U1
67,HLXU,361120,0,22,U1
68,HLXU,131768,7,22,G0
69,HLXU,131794,3,22,G1
70,HLXU,131797,10,22,G0
71,HLBU,131808,10,45,G0
72,HLXU,361187,5,22,U1
73,HLXU,361188,0,22,U1
74,HLXU,361191,5,22,U1
75,HLXU,361195,7,22,U1
76,HLXU,361196,2,22,U1
77,HLXU,361227,5,22,U1
78,HLBU,131856,2,45,G0
79,HLXU,361234,1,22,U1
80,HLXU,361239,9,22,U1
81,HLBU,131864,4,45,G0
82,HLXU,361253,1,22,U1
83,HLXU,361258,9,22,U1
84,HLXU,131885,2,22,G0
85,HLXU,361267,6,22,U1
86,HLBU,131906,5,45,G0
87,HLXU,131910,2,22,G0
88,HLXU,131911,8,22,G0
89,HLXU,131920,5,22,G0
90,HLBU,131932,1,45,G0
91,HLXU,361314,2,22,U1
92,HLXU,361338,10,22,U1
93,HLXU,361366,7,22,U1
94,HLXU,131994,6,22,G0
95,HLXU,361378,0,22,U1
96,HLXU,361380,10,22,U1
97,HLBU,132010,6,45,G0
98,HLXU,132019,2,22,G0
99,HLXU,361408,8,22,U1
100,HLBU,132047,2,45,G0
101,HLXU,361445,2,22,U1
102,HLXU,361446,8,22,U1
103,HLXU,361452,9,22,U1
104,HLXU,361457,6,22,U1
105,HLXU,361464,2,22,U1
106,HLXU,361469,10,22,U1
107,HLXU,361478,7,22,U1
108,HLXU,132124,4,22,G0
109,HLXU,361500,0,22,U1
110,HLXU,361524,8,22,U1
111,HLXU,132149,7,22,G1
112,HLXU,132148,1,22,G0
113,HLXU,132152,1,22,G0
114,HLXU,132155,8,22,G1
115,HLXU,132160,3,22,G0
116,HLXU,361538,2,22,U1
117,HLXU,132164,5,22,G1
118,HLXU,132171,1,22,G1
119,HLXU,361578,3,22,U1
120,HLXU,132209,2,22,G0
121,HLXU,132210,6,22,G0
122,HLBU,132238,8,45,G0
123,HLXU,361619,9,22,U1
124,HLXU,132246,7,22,G1
125,HLXU,361638,9,22,U1
126,HLBU,132278,9,45,G0
127,HLXU,361667,1,22,U1
128,HLXU,132320,5,22,G1
129,HLBU,132338,4,45,G0
130,HLXU,361717,4,22,U1
131,HLXU,361719,5,22,U1
132,HLXU,361733,8,22,U1
133,HLXU,361746,7,22,U1
134,HLXU,132376,1,22,G1
135,HLBU,132382,5,45,G0
136,HLXU,361763,6,22,U1
137,HLXU,132390,4,22,G1
138,HLXU,132406,9,22,G0
139,HLXU,361785,2,22,U1
140,HLXU,361794,10,22,U1
141,HLXU,361795,5,22,U1
142,HLXU,361803,6,22,U1
143,HLXU,361809,9,22,U1
144,HLXU,361864,8,22,U1
145,HLXU,132495,8,22,G1
146,HLXU,361881,7,22,U1
147,HLXU,132510,5,22,G1
148,HLXU,361893,0,22,U1
149,HLXU,132519,4,22,G0
150,HLXU,361908,10,22,U1
151,HLXU,132561,4,22,G1
152,HLXU,361950,10,22,U1
153,HLXU,361955,7,22,U1
154,HLXU,361988,1,22,U1
155,HLBU,132631,5,45,G0
156,HLBU,132641,8,45,G0
157,HLXU,362019,9,22,U1
158,HLXU,362024,4,22,U1
159,HLXU,362030,5,22,U1
160,HLXU,362036,8,22,U1
161,HLXU,362052,1,22,U1
162,HLXU,362077,4,22,U1
163,HLXU,362079,5,22,U1
164,HLXU,362084,0,22,U1
165,HLXU,362087,7,22,U1
166,HLXU,132713,4,22,G0
167,HLXU,362093,8,22,U1
168,HLXU,362103,10,22,U1
169,HLXU,362108,7,22,U1
170,HLXU,362135,9,22,U1
171,HLXU,362153,3,22,U1
172,HLXU,362159,6,22,U1
173,HLXU,362174,4,22,U1
174,HLBU,132811,2,45,G0
175,HLXU,132822,8,22,G1
176,HLXU,132823,3,22,G0
177,HLXU,362215,10,22,U1
178,HLXU,132843,9,22,G0
179,HLXU,362228,9,22,U1
180,HLBU,132856,0,45,G0
181,HLBU,132872,4,45,G0
182,HLBU,132881,1,45,G0
183,HLXU,132892,7,22,G0
184,HLXU,362289,0,22,U1
185,HLBU,132928,10,45,G0
186,HLBU,132959,3,45,G0
187,HLXU,132968,8,22,G1
188,HLXU,132989,9,22,G1
189,HLXU,132994,4,22,G0
190,HLBU,133005,9,45,G0
191,HLXU,362391,6,22,U1
192,HLXU,362400,2,22,U1
193,HLXU,362406,5,22,U1
194,HLXU,362410,5,22,U1
195,HLBU,133036,2,45,G0
196,HLXU,362421,3,22,U1
197,HLXU,362438,4,22,U1
198,HLXU,362453,2,22,U1
199,HLBU,133080,3,45,G0
200,HLBU,133133,2,45,G0
201,HLBU,133145,6,45,G0
202,HLBU,133157,10,45,G0
203,HLXU,362533,3,22,U1
204,HLBU,133170,7,45,G0
