index,IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam,Link,Max Speed (knots),Average Speed (knots),Average Speed (km/h),Builder
1,9648714,PRELUDE,Offshore Support Vessel,Australia,499167,,489,,,2017,,,,,Other type (HAZ-A),BROWSE BASIN AU,"Jul 1, 10:00",9648714 / 503000101,VNKL,488 / 74 m,19.1 m,348.0Â° / 0.1 kn,13.78729 S/123.31391 E,503000101,348.0Â°,0.1 kn,-13.78729,123.31391,488,74 m,https://www.vesselfinder.com/vessels/PRELUDE-IMO-9648714-MMSI-503000101,6.8,5.7,10.5564,Kaiser Shipyards
2,9593505,PIONEERING SPIRIT,Crane Ship,Malta,403342,499125,477,124,None,2014,,,,,Other type,,,9593505 / 249110000,9HA4112,382 / 124 m,12.2 m,173.0Â° / 0.1 kn,51.96167 N/3.977 E,249110000,173.0Â°,0.1 kn,51.96167,3.977,382,124 m,https://www.vesselfinder.com/vessels/PIONEERING-SPIRIT-IMO-9593505-MMSI-249110000,7.3,6.1,11.2972,Suez shipyard
3,9224764,FSO AFRICA,FSO,Marshall Islands,236638,441561,378,68,None,2002,,None,,,Tanker,,,9224764 / 538002388,V7IJ5,380 / 68 m,24.5 m,163.0Â° / 0.0 kn,26.64437 N/51.89488 E,538002388,163.0Â°,0.0 kn,26.64437,51.89488,380,68 m,https://www.vesselfinder.com/vessels/FSO-AFRICA-IMO-9224764-MMSI-538002388,5.4,5.2,9.6304,Oregon Shipbuilding Corporation
4,9224752,FSO ASIA,FSO,Marshall Islands,236638,441893,380,68,None,2002,,None,,,Tanker,,,9224752 / 538003426,V7QR6,380 / 68 m,24.5 m,229.0Â° / 0.0 kn,26.58988 N/52.03687 E,538003426,229.0Â°,0.0 kn,26.58988,52.03687,380,68 m,https://www.vesselfinder.com/vessels/FSO-ASIA-IMO-9224752-MMSI-538003426,14.8,14.8,27.4096,"Hyundai Mipo Dockyard Co., Ltd."
5,9246633,OCEANIA,Crude Oil Tanker,Belgium,234006,441585,380,68,None,2003,,None,,,Tanker,LINGGI MY,"Sep 29, 11:00",9246633 / 205753000,ONJP,380 / 68 m,21.5 m,261.0Â° / 0.0 kn,2.34647 N/101.91493 E,205753000,261.0Â°,0.0 kn,2.34647,101.91493,380,68 m,https://www.vesselfinder.com/vessels/OCEANIA-IMO-9246633-MMSI-205753000,6,5.6,10.3712,Aker Arctic
6,9235268,EUROPE,Crude Oil Tanker,Belgium,234006,441561,380,68,None,2002,,None,,,Tanker,,,9235268 / 205408000,ONCP,380 / 68 m,19.5 m,322.0Â° / 0.0 kn,1.25007 N/103.47625 E,205408000,322.0Â°,0.0 kn,1.25007,103.47625,380,68 m,https://www.vesselfinder.com/vessels/EUROPE-IMO-9235268-MMSI-205408000,6.1,5.7,10.5564,George Lawley & Sons
7,9744001,SYMPHONY OF THE SEAS,Passenger (Cruise) Ship,Bahamas,228081,18095,361,47,None,2018,,,,,Passenger ship,DRIFTING,"Apr 24, 18:30",9744001 / 311000660,C6DF6,362 / 66 m,9.1 m,264.5Â° / 0.1 kn,23.54762 N/80.68495 W,311000660,264.5Â°,0.1 kn,23.54762,-80.68495,362,66 m,https://www.vesselfinder.com/vessels/SYMPHONY-OF-THE-SEAS-IMO-9744001-MMSI-311000660,6.3,6.2,11.4824,Meyer Werft
8,9682875,HARMONY OF THE SEAS,Passenger (Cruise) Ship,Bahamas,226963,20236,362,47,None,2016,,,,,Passenger ship,INT. WATER ANCHORAGE,"Apr 30, 12:00",9682875 / 311000396,C6BX8,362 / 66 m,9.3 m,83.0Â° / 0.0 kn,29.50903 N/80.74075 W,311000396,83.0Â°,0.0 kn,29.50903,-80.74075,362,66 m,https://www.vesselfinder.com/vessels/HARMONY-OF-THE-SEAS-IMO-9682875-MMSI-311000396,9.3,8.2,15.1864,General Dynamics
9,9383936,OASIS OF THE SEAS,Passenger (Cruise) Ship,Bahamas,225282,15000,360,61,None,2009,,,,,Passenger ship,PORT CANAVERAL,"Apr 28, 10:00",9383936 / 311020600,C6XS7,360 / 60 m,9.3 m,199.0Â° / 0.1 kn,29.23465 N/80.35712 W,311020600,199.0Â°,0.1 kn,29.23465,-80.35712,360,60 m,https://www.vesselfinder.com/vessels/OASIS-OF-THE-SEAS-IMO-9383936-MMSI-311020600,9,8.2,15.1864,Danziger Werft
10,9383948,ALLURE OF THE SEAS,Passenger (Cruise) Ship,Bahamas,225282,19750,360,61,None,2010,,,,,Passenger ship,GB SOU,"May 6, 07:00",9383948 / 311020700,C6XS8,,9.1 m,67.0Â° / 1.9 kn,51.2138 N/6.72533 W,311020700,67.0Â°,1.9 kn,51.2138,-6.72533,,,https://www.vesselfinder.com/vessels/ALLURE-OF-THE-SEAS-IMO-9383948-MMSI-311020700,12.3,10.3,19.0756,Hellenic Shipyards Co.
11,9695896,EGINA,Offshore Support Vessel,Nigeria,219830,349597,330,,,2017,,,,,Other type,,,9695896 / 657161000,5NMX3,330 / 61 m,13.0 m,19.0Â° / 0.0 kn,3.05027 N/6.69737 E,657161000,19.0Â°,0.0 kn,3.05027,6.69737,330,61 m,https://www.vesselfinder.com/vessels/EGINA-FPSO-IMO-9695896-MMSI-657161000,5.4,5.1,9.4452,Union Iron Works
